=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2024.11.11 13:34:23 =~=~=~=~=~=~=~=~=~=~=~=

Down threshold:   f_down_thr = 584
Up threshold:   f_up_thr = 443
Trial 3 started
time, up, down, lbl_up, lbl_down
0.0000, 472, 612, 0, 0
0.0100, 472, 612, 0, 0
0.0350, 472, 612, 0, 0
0.0610, 472, 612, 0, 0
0.0850, 472, 611, 0, 0
0.1100, 473, 611, 0, 0
0.1350, 472, 612, 0, 0
0.1600, 472, 611, 0, 0
0.1840, 472, 611, 0, 0
0.2100, 472, 611, 0, 0
0.2350, 472, 612, 0, 0
0.2600, 472, 611, 0, 0
0.2850, 472, 611, 0, 0
0.3090, 472, 611, 0, 0
0.3350, 472, 611, 0, 0
0.3600, 472, 611, 0, 0
0.3840, 471, 611, 0, 0
0.4100, 472, 612, 0, 0
0.4340, 472, 611, 0, 0
0.4600, 472, 612, 0, 0
0.4850, 472, 611, 0, 0
0.5090, 471, 611, 0, 0
0.5350, 471, 612, 0, 0
0.5590, 471, 611, 0, 0
0.5840, 472, 611, 0, 0
0.6090, 471, 611, 0, 0
0.6340, 471, 611, 0, 0
0.6600, 470, 612, 0, 0
0.6840, 471, 611, 0, 0
0.7090, 471, 612, 0, 0
0.7340, 470, 612, 0, 0
0.7590, 469, 611, 0, 0
0.7840, 469, 612, 0, 0
0.8090, 468, 612, 0, 0
0.8340, 469, 612, 0, 0
0.8590, 469, 611, 0, 0
0.8840, 469, 611, 0, 0
0.9080, 469, 612, 0, 0
0.9340, 468, 612, 0, 0
0.9590, 469, 612, 0, 0
0.9830, 469, 612, 0, 0
1.0090, 470, 612, 0, 0
1.0330, 469, 612, 0, 0
1.0590, 469, 612, 0, 0
1.0840, 470, 612, 0, 0
1.1080, 470, 611, 0, 0
1.1340, 469, 612, 0, 0
1.1580, 467, 612, 0, 0
1.1830, 467, 612, 0, 0
1.2080, 467, 612, 0, 0
1.2330, 467, 612, 0, 0
1.2590, 467, 613, 0, 0
1.2830, 467, 612, 0, 0
1.3080, 467, 613, 0, 0
1.3330, 467, 613, 0, 0
1.3580, 467, 612, 0, 0
1.3830, 468, 613, 0, 0
1.4080, 469, 613, 0, 0
1.4330, 469, 612, 0, 0
1.4580, 469, 612, 0, 0
1.4830, 469, 612, 0, 0
1.5070, 470, 613, 0, 0
