=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2024.11.21 12:38:07 =~=~=~=~=~=~=~=~=~=~=~=
Vibration OFF
Vibration ON
Down threshold:   f_down_thr = 560
Down threshold:   f_down_thr = 565
Up threshold:   f_up_thr = 404
Trial 1 started
time, up, down, lbl_up, lbl_down
0.0000, 421, 618, 0, 0
0.0100, 421, 618, 0, 0
0.0350, 421, 619, 0, 0
0.0600, 421, 618, 0, 0
0.0850, 422, 618, 0, 0
0.1100, 422, 618, 0, 0
0.1350, 422, 618, 0, 0
0.1600, 422, 618, 0, 0
0.1850, 422, 617, 0, 0
0.2090, 423, 617, 0, 0
0.2350, 424, 616, 0, 0
0.2590, 424, 616, 0, 0
0.2850, 425, 615, 0, 0
0.3100, 426, 615, 0, 0
0.3340, 426, 615, 0, 0
0.3600, 427, 615, 0, 0
0.3840, 428, 614, 0, 0
0.4090, 428, 614, 0, 0
0.4350, 429, 614, 0, 0
0.4590, 429, 613, 0, 0
0.4850, 430, 613, 0, 0
0.5090, 430, 613, 0, 0
0.5340, 431, 612, 0, 0
0.5590, 432, 611, 0, 0
0.5840, 432, 610, 0, 0
0.6090, 434, 610, 0, 0
0.6340, 434, 610, 0, 0
0.6590, 434, 610, 0, 0
0.6840, 433, 610, 0, 0
0.7090, 433, 611, 0, 0
0.7340, 432, 610, 0, 0
0.7590, 432, 610, 0, 0
0.7840, 433, 610, 0, 0
0.8080, 433, 609, 0, 0
0.8340, 434, 609, 0, 0
0.8590, 434, 609, 0, 0
0.8840, 433, 609, 0, 0
0.9090, 432, 609, 0, 0
0.9330, 431, 609, 0, 0
0.9590, 431, 609, 0, 0
0.9830, 431, 609, 0, 0
1.0080, 431, 608, 0, 0
1.0340, 431, 608, 0, 0
1.0580, 431, 608, 0, 0
1.0840, 431, 608, 0, 0
1.1080, 430, 608, 0, 0
1.1330, 429, 608, 0, 0
1.1590, 428, 608, 0, 0
1.1830, 427, 609, 0, 0
1.2080, 427, 608, 0, 0
1.2330, 427, 608, 0, 0
1.2580, 426, 609, 0, 0
1.2830, 425, 608, 0, 0
1.3080, 422, 608, 0, 0
1.3330, 422, 609, 0, 0
1.3580, 421, 608, 0, 0
1.3830, 420, 608, 0, 0
1.4070, 418, 609, 0, 0
1.4330, 416, 608, 0, 0
1.4580, 416, 608, 0, 0
1.4830, 416, 608, 0, 0
1.5080, 416, 607, 0, 0
1.5320, 414, 607, 0, 0
1.5580, 414, 607, 0, 0
1.5820, 414, 607, 0, 0
1.6070, 413, 607, 0, 0
1.6330, 412, 607, 0, 0
1.6570, 410, 606, 0, 0
1.6830, 410, 607, 0, 0
1.7070, 410, 607, 0, 0
1.7320, 411, 607, 0, 0
1.7580, 410, 607, 0, 0
1.7820, 410, 607, 0, 0
1.8070, 410, 607, 0, 0
1.8320, 411, 606, 0, 0
1.8570, 413, 606, 0, 0
1.8830, 415, 605, 0, 0
1.9070, 417, 605, 0, 0
1.9320, 418, 604, 0, 0
1.9570, 419, 604, 0, 0
1.9820, 420, 604, 0, 0
2.0060, 421, 604, 0, 0
2.0320, 424, 604, 0, 0
2.0570, 426, 602, 0, 0
2.0820, 428, 602, 0, 0
2.1070, 430, 602, 0, 0
2.1310, 431, 602, 0, 0
2.1570, 432, 602, 0, 0
2.1820, 434, 602, 0, 0
2.2060, 434, 602, 0, 0
2.2320, 435, 602, 0, 0
2.2560, 435, 602, 0, 0
2.2820, 436, 603, 0, 0
