=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2024.11.11 14:31:23 =~=~=~=~=~=~=~=~=~=~=~=
Introduce the down threshold: 594 
 
Introduce the down threshold: 593 
 
Introduce the up threshold: 435 
 
Vibration OFF
Vibration ON
Trial 1 started
time, up, down, lbl_up, lbl_down
0.0000, 515, 593, 0, 0
0.0090, 515, 593, 0, 0
0.0350, 516, 592, 0, 1
0.0590, 516, 591, 0, 1
0.0850, 517, 569, 0, 1
0.1090, 517, 570, 0, 1
0.1340, 518, 570, 0, 1
0.1590, 518, 569, 0, 1
0.1840, 517, 570, 0, 1
0.2090, 518, 569, 0, 1
0.2340, 519, 569, 0, 1
0.2590, 518, 572, 0, 1
0.2840, 518, 571, 0, 1
0.3090, 518, 570, 0, 1
0.3340, 518, 573, 0, 1
0.3590, 518, 568, 0, 1
0.3840, 519, 568, 0, 1
0.4080, 519, 568, 0, 1
0.4340, 519, 568, 0, 1
0.4580, 520, 572, 0, 1
0.4840, 519, 570, 0, 1
0.5090, 520, 569, 0, 1
0.5330, 520, 569, 0, 1
0.5590, 520, 570, 0, 1
0.5830, 520, 570, 0, 1
0.6080, 520, 570, 0, 1
0.6340, 520, 570, 0, 1
0.6580, 519, 571, 0, 1
0.6840, 520, 571, 0, 1
0.7080, 520, 571, 0, 1
0.7330, 520, 571, 0, 1
0.7590, 521, 572, 0, 1
0.7830, 521, 571, 0, 1
0.8080, 521, 575, 0, 1
0.8330, 522, 571, 0, 1
0.8580, 522, 572, 0, 1
0.8830, 521, 574, 0, 1
0.9080, 521, 573, 0, 1
0.9330, 519, 578, 0, 1
0.9580, 516, 576, 0, 1
0.9830, 511, 577, 0, 1
1.0070, 501, 580, 0, 1
1.0330, 500, 584, 0, 1
1.0580, 498, 581, 0, 1
1.0830, 497, 584, 0, 1
1.1080, 499, 602, 0, 0
1.1320, 501, 601, 0, 0
1.1580, 501, 601, 0, 0
1.1820, 501, 601, 0, 0
1.2070, 500, 602, 0, 0
1.2330, 499, 602, 0, 0
1.2570, 498, 602, 0, 0
1.2830, 498, 603, 0, 0
1.3070, 498, 603, 0, 0
1.3320, 498, 603, 0, 0
1.3580, 498, 603, 0, 0
1.3820, 498, 603, 0, 0
1.4070, 498, 602, 0, 0
1.4320, 498, 603, 0, 0
1.4570, 499, 603, 0, 0
1.4820, 499, 603, 0, 0
1.5070, 499, 603, 0, 0
1.5320, 499, 603, 0, 0
1.5570, 498, 603, 0, 0
1.5820, 499, 604, 0, 0
1.6060, 498, 603, 0, 0
1.6320, 498, 603, 0, 0
1.6570, 499, 603, 0, 0
1.6820, 498, 604, 0, 0
1.7070, 499, 603, 0, 0
1.7310, 499, 604, 0, 0
1.7570, 500, 604, 0, 0
1.7810, 500, 604, 0, 0
1.8060, 500, 603, 0, 0
1.8320, 501, 604, 0, 0
1.8560, 502, 604, 0, 0
1.8820, 502, 604, 0, 0
1.9060, 503, 603, 0, 0
1.9310, 504, 604, 0, 0
1.9570, 504, 604, 0, 0
1.9810, 504, 603, 0, 0
2.0060, 505, 603, 0, 0
2.0310, 505, 603, 0, 0
2.0560, 505, 603, 0, 0
2.0820, 506, 602, 0, 0
2.1060, 507, 602, 0, 0
2.1310, 508, 602, 0, 0
2.1560, 508, 601, 0, 0
2.1810, 509, 600, 0, 0
2.2050, 509, 600, 0, 0
2.2310, 510, 599, 0, 0
2.2560, 511, 598, 0, 0
2.2810, 512, 598, 0, 0
2.3060, 513, 597, 0, 0
2.3300, 514, 596, 0, 0
2.3560, 514, 596, 0, 0
