=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2024.11.15 13:06:55 =~=~=~=~=~=~=~=~=~=~=~=
Down threshold:   f_down_thr = 540
 
Up threshold:   f_up_thr = 431
Trial 1 started
time, up, down, lbl_up, lbl_down
0.0000, 484, 576, 0, 0
0.0100, 484, 576, 0, 0
0.0350, 484, 576, 0, 0
0.0600, 483, 576, 0, 0
0.0850, 484, 575, 0, 0
0.1100, 484, 575, 0, 0
0.1350, 484, 574, 0, 0
0.1600, 483, 574, 0, 0
0.1840, 483, 574, 0, 0
0.2100, 482, 573, 0, 0
0.2350, 483, 572, 0, 0
0.2600, 482, 571, 0, 0
0.2850, 481, 572, 0, 0
0.3090, 481, 571, 0, 0
0.3350, 480, 569, 0, 0
0.3590, 479, 568, 0, 0
0.3840, 478, 568, 0, 0
0.4100, 478, 568, 0, 0
0.4340, 477, 566, 0, 0
0.4600, 477, 566, 0, 0
0.4840, 476, 565, 0, 0
0.5090, 475, 565, 0, 0
0.5350, 474, 566, 0, 0
0.5590, 475, 566, 0, 0
0.5840, 476, 566, 0, 0
0.6090, 477, 566, 0, 0
0.6340, 477, 567, 0, 0
0.6600, 477, 567, 0, 0
0.6840, 478, 567, 0, 0
0.7090, 479, 567, 0, 0
0.7340, 480, 568, 0, 0
0.7590, 481, 568, 0, 0
0.7830, 483, 568, 0, 0
0.8090, 484, 568, 0, 0
0.8340, 484, 568, 0, 0
0.8590, 486, 568, 0, 0
0.8840, 487, 568, 0, 0
0.9080, 488, 568, 0, 0
0.9340, 489, 567, 0, 0
0.9590, 489, 567, 0, 0
0.9830, 489, 567, 0, 0
1.0090, 491, 565, 0, 0
1.0330, 493, 564, 0, 0
1.0590, 495, 563, 0, 0
1.0830, 496, 560, 0, 0
1.1080, 497, 561, 0, 0
1.1340, 497, 562, 0, 0
1.1580, 498, 560, 0, 0
1.1830, 500, 558, 0, 0
1.2080, 501, 557, 0, 0
1.2330, 504, 554, 0, 0
1.2590, 506, 552, 0, 0
1.2830, 508, 551, 0, 0
1.3080, 508, 550, 0, 0
1.3330, 509, 551, 0, 0
1.3580, 509, 552, 0, 0
1.3820, 510, 551, 0, 0
1.4080, 511, 549, 0, 0
1.4330, 512, 549, 0, 0
1.4580, 513, 547, 0, 0
1.4830, 514, 545, 0, 0
1.5070, 514, 546, 0, 0
1.5330, 515, 547, 0, 0
1.5580, 515, 547, 0, 0
1.5820, 514, 549, 0, 0
1.6080, 515, 550, 0, 0
1.6320, 515, 549, 0, 0
1.6580, 515, 549, 0, 0
1.6820, 515, 549, 0, 0
1.7070, 515, 550, 0, 0
1.7330, 515, 550, 0, 0
1.7570, 515, 551, 0, 0
1.7820, 515, 551, 0, 0
1.8070, 515, 551, 0, 0
1.8320, 515, 552, 0, 0
1.8580, 515, 552, 0, 0
1.8820, 515, 553, 0, 0
1.9070, 515, 553, 0, 0
1.9320, 515, 554, 0, 0
1.9570, 514, 555, 0, 0
1.9810, 514, 555, 0, 0
2.0070, 514, 555, 0, 0
2.0320, 514, 556, 0, 0
2.0570, 514, 556, 0, 0
2.0820, 512, 556, 0, 0
2.1060, 511, 557, 0, 0
2.1320, 512, 558, 0, 0
2.1570, 512, 558, 0, 0
2.1810, 511, 558, 0, 0
2.2070, 513, 558, 0, 0
2.2310, 513, 558, 0, 0
2.2570, 510, 558, 0, 0
2.2820, 511, 560, 0, 0
2.3060, 511, 559, 0, 0
2.3320, 511, 558, 0, 0
2.3560, 512, 557, 0, 0
2.3810, 512, 555, 0, 0
2.4060, 513, 555, 0, 0
2.4310, 513, 556, 0, 0
2.4570, 512, 556, 0, 0
2.4810, 512, 557, 0, 0
2.5060, 512, 557, 0, 0
2.5310, 513, 556, 0, 0
2.5560, 513, 555, 0, 0
2.5810, 513, 556, 0, 0
2.6060, 512, 556, 0, 0
2.6310, 512, 556, 0, 0
2.6560, 511, 558, 0, 0
2.6810, 512, 558, 0, 0
2.7050, 512, 557, 0, 0
2.7310, 513, 557, 0, 0
2.7560, 513, 558, 0, 0
2.7800, 512, 558, 0, 0
2.8060, 511, 559, 0, 0
2.8300, 511, 560, 0, 0
2.8560, 511, 560, 0, 0
2.8810, 510, 560, 0, 0
2.9050, 511, 560, 0, 0
2.9310, 511, 559, 0, 0
2.9550, 511, 558, 0, 0
2.9800, 511, 558, 0, 0
3.0050, 511, 559, 0, 0
3.0300, 511, 560, 0, 0
3.0560, 511, 560, 0, 0
3.0800, 511, 559, 0, 0
3.1050, 512, 559, 0, 0
3.1300, 511, 559, 0, 0
3.1550, 511, 560, 0, 0
3.1800, 511, 560, 0, 0
3.2050, 512, 559, 0, 0
3.2300, 512, 559, 0, 0
3.2550, 511, 560, 0, 0
3.2800, 512, 560, 0, 0
3.3040, 512, 561, 0, 0
3.3300, 512, 560, 0, 0
3.3550, 512, 560, 0, 0
3.3790, 512, 560, 0, 0
3.4050, 513, 561, 0, 0
3.4290, 513, 561, 0, 0
3.4550, 513, 562, 0, 0
3.4800, 513, 562, 0, 0
3.5040, 513, 562, 0, 0
3.5300, 512, 561, 0, 0
3.5540, 512, 561, 0, 0
3.5790, 511, 562, 0, 0
3.6050, 509, 563, 0, 0
3.6290, 507, 564, 0, 0
3.6550, 505, 563, 0, 0
3.6790, 505, 563, 0, 0
3.7040, 505, 564, 0, 0
3.7290, 505, 564, 0, 0
3.7540, 505, 564, 0, 0
3.7790, 504, 564, 0, 0
3.8040, 502, 565, 0, 0
3.8290, 502, 565, 0, 0
3.8540, 501, 566, 0, 0
3.8790, 501, 566, 0, 0
3.9040, 501, 566, 0, 0
3.9290, 501, 566, 0, 0
3.9540, 499, 566, 0, 0
3.9780, 499, 567, 0, 0
4.0040, 499, 566, 0, 0
4.0280, 499, 566, 0, 0
4.0540, 499, 567, 0, 0
4.0790, 499, 567, 0, 0
4.1030, 499, 566, 0, 0
4.1290, 500, 566, 0, 0
4.1530, 501, 565, 0, 0
4.1780, 502, 565, 0, 0
4.2040, 502, 564, 0, 0
4.2280, 503, 564, 0, 0
4.2540, 503, 564, 0, 0
4.2780, 503, 564, 0, 0
4.3030, 505, 562, 0, 0
4.3280, 505, 561, 0, 0
4.3530, 506, 561, 0, 0
4.3780, 506, 560, 0, 0
4.4030, 506, 561, 0, 0
4.4280, 506, 561, 0, 0
4.4530, 506, 562, 0, 0
4.4780, 507, 561, 0, 0
4.5030, 507, 561, 0, 0
4.5280, 507, 561, 0, 0
4.5530, 507, 562, 0, 0
4.5770, 508, 561, 0, 0
4.6030, 508, 561, 0, 0
4.6280, 508, 561, 0, 0
4.6530, 508, 561, 0, 0
4.6780, 508, 562, 0, 0
4.7020, 507, 563, 0, 0
4.7280, 507, 563, 0, 0
4.7520, 507, 563, 0, 0
4.7770, 508, 563, 0, 0
4.8030, 508, 563, 0, 0
4.8270, 508, 563, 0, 0
4.8530, 507, 563, 0, 0
4.8770, 506, 563, 0, 0
4.9020, 506, 564, 0, 0
4.9280, 505, 564, 0, 0
4.9520, 505, 564, 0, 0
4.9770, 505, 564, 0, 0
5.0020, 504, 564, 0, 0
5.0270, 503, 564, 0, 0
5.0520, 503, 565, 0, 0
5.0770, 502, 565, 0, 0
