=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2024.11.12 12:07:06 =~=~=~=~=~=~=~=~=~=~=~=
Introduce the down threshold: 591 
 
Introduce the up threshold: 424 
 
Vibration OFF
Trial 1 started
time, up, down, lbl_up, lbl_down
0.0000, 592, 628, 0, 0
0.0100, 592, 630, 0, 0
0.0350, 592, 613, 0, 0
0.0610, 592, 613, 0, 0
0.0850, 592, 613, 0, 0
0.1100, 592, 616, 0, 0
0.1350, 592, 614, 0, 0
0.1600, 592, 613, 0, 0
0.1840, 592, 613, 0, 0
0.2100, 592, 615, 0, 0
0.2350, 592, 612, 0, 0
0.2600, 593, 612, 0, 0
0.2850, 593, 611, 0, 0
0.3090, 593, 612, 0, 0
0.3350, 592, 611, 0, 0
0.3600, 593, 611, 0, 0
0.3840, 593, 611, 0, 0
0.4100, 593, 611, 0, 0
0.4340, 593, 610, 0, 0
0.4600, 593, 611, 0, 0
0.4840, 593, 611, 0, 0
0.5090, 593, 610, 0, 0
0.5350, 594, 610, 0, 0
0.5590, 594, 610, 0, 0
0.5840, 594, 610, 0, 0
0.6090, 594, 610, 0, 0
0.6340, 594, 610, 0, 0
0.6600, 594, 610, 0, 0
0.6840, 594, 609, 0, 0
0.7090, 594, 609, 0, 0
0.7340, 594, 610, 0, 0
0.7590, 595, 609, 0, 0
0.7830, 594, 609, 0, 0
0.8090, 594, 609, 0, 0
0.8340, 594, 609, 0, 0
0.8590, 594, 608, 0, 0
0.8840, 594, 608, 0, 0
0.9080, 594, 609, 0, 0
0.9340, 594, 609, 0, 0
0.9590, 594, 609, 0, 0
0.9830, 593, 609, 0, 0
1.0090, 594, 609, 0, 0
1.0330, 593, 609, 0, 0
1.0590, 593, 609, 0, 0
1.0830, 593, 609, 0, 0
1.1080, 592, 609, 0, 0
1.1340, 592, 609, 0, 0
1.1580, 592, 609, 0, 0
1.1830, 592, 610, 0, 0
1.2080, 592, 610, 0, 0
1.2330, 592, 610, 0, 0
1.2590, 592, 610, 0, 0
1.2830, 591, 610, 0, 0
1.3080, 592, 610, 0, 0
1.3330, 592, 610, 0, 0
1.3580, 592, 610, 0, 0
1.3820, 591, 610, 0, 0
1.4080, 592, 610, 0, 0
1.4330, 592, 610, 0, 0
1.4580, 592, 609, 0, 0
1.4830, 592, 609, 0, 0
1.5070, 592, 609, 0, 0
1.5330, 593, 609, 0, 0
1.5580, 593, 609, 0, 0
1.5820, 592, 609, 0, 0
1.6080, 593, 609, 0, 0
1.6320, 592, 610, 0, 0
1.6580, 593, 610, 0, 0
1.6830, 593, 609, 0, 0
1.7070, 592, 609, 0, 0
1.7330, 592, 610, 0, 0
1.7570, 593, 610, 0, 0
1.7820, 592, 610, 0, 0
1.8070, 592, 610, 0, 0
1.8320, 592, 611, 0, 0
1.8580, 592, 611, 0, 0
1.8820, 591, 611, 0, 0
1.9070, 591, 611, 0, 0
1.9320, 591, 612, 0, 0
1.9570, 590, 612, 0, 0
1.9820, 590, 612, 0, 0
2.0070, 590, 612, 0, 0
2.0320, 590, 612, 0, 0
2.0570, 590, 612, 0, 0
2.0820, 590, 612, 0, 0
2.1060, 590, 612, 0, 0
2.1320, 589, 613, 0, 0
2.1570, 589, 613, 0, 0
2.1810, 589, 613, 0, 0
2.2070, 588, 613, 0, 0
2.2310, 588, 613, 0, 0
2.2570, 588, 613, 0, 0
2.2820, 587, 614, 0, 0
2.3060, 587, 614, 0, 0
2.3320, 587, 614, 0, 0
2.3560, 587, 614, 0, 0
2.3810, 587, 614, 0, 0
2.4060, 587, 614, 0, 0
2.4310, 587, 614, 0, 0
2.4570, 586, 614, 0, 0
