=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2025.03.31 09:29:12 =~=~=~=~=~=~=~=~=~=~=~=
Vibration OFF
 
Vibration ON
Vibration OFF
Down threshold:   f_down_thr = 502
Up threshold:   f_up_thr = 370
Introduce the up threshold: 6 
 
Down threshold:   f_down_thr = 522
Up threshold:   f_up_thr = 366
Trial 1 started
time, up, down, lbl_up, lbl_down
0.0000, 365, 554, 1, 0
0.0090, 365, 554, 1, 0
0.0350, 366, 554, 0, 0
0.0590, 366, 554, 0, 0
0.0850, 366, 554, 0, 0
0.1090, 367, 554, 0, 0
0.1340, 367, 554, 0, 0
0.1600, 367, 555, 0, 0
0.1840, 367, 554, 0, 0
0.2090, 366, 555, 0, 0
0.2340, 366, 555, 0, 0
0.2590, 364, 555, 1, 0
0.2840, 364, 555, 1, 0
0.3090, 364, 555, 1, 0
0.3340, 363, 556, 1, 0
0.3590, 363, 556, 1, 0
0.3840, 363, 556, 1, 0
0.4080, 361, 557, 1, 0
0.4340, 361, 557, 1, 0
0.4590, 360, 558, 1, 0
0.4840, 360, 559, 1, 0
0.5090, 359, 559, 1, 0
0.5330, 359, 560, 1, 0
0.5590, 359, 561, 1, 0
0.5830, 359, 561, 1, 0
0.6080, 359, 561, 1, 0
0.6340, 359, 562, 1, 0
0.6580, 358, 562, 1, 0
0.6840, 358, 563, 1, 0
0.7080, 357, 563, 1, 0
0.7330, 356, 563, 1, 0
0.7590, 357, 564, 1, 0
0.7830, 356, 564, 1, 0
0.8080, 357, 564, 1, 0
0.8330, 357, 565, 1, 0
0.8580, 358, 564, 1, 0
0.8830, 358, 565, 1, 0
0.9080, 358, 565, 1, 0
0.9330, 359, 565, 1, 0
0.9580, 359, 565, 1, 0
0.9830, 360, 565, 1, 0
1.0070, 361, 566, 1, 0
1.0330, 362, 565, 1, 0
1.0580, 364, 565, 1, 0
1.0830, 366, 564, 0, 0
1.1080, 368, 564, 0, 0
1.1320, 371, 565, 0, 0
1.1580, 373, 564, 0, 0
1.1830, 375, 564, 0, 0
1.2070, 377, 564, 0, 0
1.2330, 378, 565, 0, 0
1.2570, 379, 565, 0, 0
1.2830, 381, 565, 0, 0
1.3070, 382, 565, 0, 0
1.3320, 382, 565, 0, 0
1.3580, 382, 566, 0, 0
1.3820, 382, 566, 0, 0
1.4070, 382, 566, 0, 0
1.4320, 381, 566, 0, 0
1.4570, 380, 567, 0, 0
1.4830, 381, 567, 0, 0
1.5070, 379, 567, 0, 0
1.5320, 379, 567, 0, 0
1.5570, 378, 567, 0, 0
1.5820, 377, 567, 0, 0
1.6060, 376, 567, 0, 0
1.6320, 375, 567, 0, 0
1.6570, 374, 567, 0, 0
1.6820, 373, 566, 0, 0
1.7070, 371, 565, 0, 0
1.7310, 369, 565, 0, 0
1.7570, 368, 565, 0, 0
1.7820, 366, 564, 0, 0
1.8060, 365, 564, 1, 0
1.8320, 364, 564, 1, 0
1.8560, 364, 564, 1, 0
1.8820, 364, 563, 1, 0
1.9060, 363, 563, 1, 0
1.9310, 362, 562, 1, 0
1.9570, 362, 562, 1, 0
1.9810, 361, 561, 1, 0
2.0060, 361, 561, 1, 0
2.0310, 360, 560, 1, 0
