=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2025.03.28 15:47:57 =~=~=~=~=~=~=~=~=~=~=~=

Up threshold:   f_up_thr = 364
Down threshold:   f_down_thr = 493
Trial 2 started
time, up, down, lbl_up, lbl_down
0.0000, 406, 522, 0, 0
0.0100, 406, 522, 0, 0
0.0350, 404, 525, 0, 0
0.0600, 405, 526, 0, 0
0.0850, 405, 526, 0, 0
0.1110, 406, 528, 0, 0
0.1350, 405, 528, 0, 0
0.1600, 406, 528, 0, 0
0.1850, 406, 529, 0, 0
0.2100, 406, 530, 0, 0
0.2340, 406, 531, 0, 0
0.2600, 406, 533, 0, 0
0.2850, 405, 533, 0, 0
0.3100, 407, 534, 0, 0
0.3350, 406, 535, 0, 0
0.3590, 405, 538, 0, 0
0.3850, 403, 539, 0, 0
0.4100, 404, 541, 0, 0
0.4340, 403, 542, 0, 0
0.4600, 403, 542, 0, 0
0.4840, 402, 542, 0, 0
0.5100, 399, 544, 0, 0
0.5340, 400, 547, 0, 0
0.5590, 398, 546, 0, 0
0.5850, 398, 551, 0, 0
0.6090, 396, 549, 0, 0
0.6340, 397, 554, 0, 0
0.6590, 392, 554, 0, 0
0.6840, 395, 557, 0, 0
0.7100, 389, 558, 0, 0
0.7340, 394, 561, 0, 0
0.7590, 392, 561, 0, 0
0.7840, 396, 563, 0, 0
0.8090, 392, 564, 0, 0
0.8330, 392, 565, 0, 0
0.8590, 395, 569, 0, 0
0.8840, 391, 567, 0, 0
0.9090, 397, 571, 0, 0
0.9340, 393, 573, 0, 0
0.9580, 393, 574, 0, 0
0.9840, 393, 576, 0, 0
1.0090, 395, 575, 0, 0
1.0330, 393, 578, 0, 0
1.0590, 392, 577, 0, 0
1.0830, 392, 581, 0, 0
1.1090, 391, 581, 0, 0
1.1340, 392, 583, 0, 0
1.1580, 392, 583, 0, 0
1.1840, 392, 585, 0, 0
1.2080, 392, 586, 0, 0
1.2330, 393, 586, 0, 0
1.2580, 394, 588, 0, 0
1.2830, 395, 587, 0, 0
1.3090, 397, 589, 0, 0
1.3330, 396, 588, 0, 0
1.3580, 399, 591, 0, 0
1.3830, 395, 592, 0, 0
1.4080, 398, 594, 0, 0
1.4330, 394, 595, 0, 0
1.4580, 395, 597, 0, 0
1.4830, 393, 597, 0, 0
1.5080, 396, 598, 0, 0
1.5330, 392, 599, 0, 0
1.5570, 394, 599, 0, 0
1.5830, 393, 598, 0, 0
1.6080, 395, 596, 0, 0
1.6320, 389, 595, 0, 0
1.6580, 388, 594, 0, 0
1.6820, 384, 592, 0, 0
1.7080, 383, 591, 0, 0
1.7330, 380, 590, 0, 0
1.7570, 379, 589, 0, 0
1.7830, 379, 589, 0, 0
1.8070, 380, 590, 0, 0
1.8320, 378, 590, 0, 0
1.8570, 380, 589, 0, 0
1.8820, 380, 588, 0, 0
1.9080, 384, 589, 0, 0
1.9320, 383, 588, 0, 0
1.9570, 385, 589, 0, 0
1.9820, 385, 587, 0, 0
2.0070, 387, 586, 0, 0
2.0320, 386, 583, 0, 0
2.0570, 388, 583, 0, 0
2.0820, 387, 579, 0, 0
2.1070, 389, 578, 0, 0
2.1320, 389, 577, 0, 0
2.1560, 390, 578, 0, 0
2.1820, 389, 577, 0, 0
2.2070, 391, 577, 0, 0
2.2310, 392, 577, 0, 0
2.2570, 393, 577, 0, 0
2.2810, 393, 578, 0, 0
2.3070, 395, 579, 0, 0
2.3320, 395, 577, 0, 0
2.3560, 396, 577, 0, 0
2.3820, 395, 577, 0, 0
2.4060, 397, 577, 0, 0
2.4310, 396, 576, 0, 0
2.4570, 397, 577, 0, 0
2.4810, 396, 576, 0, 0
2.5070, 399, 576, 0, 0
2.5310, 400, 576, 0, 0
2.5560, 402, 575, 0, 0
2.5810, 403, 575, 0, 0
2.6060, 404, 576, 0, 0
2.6310, 404, 576, 0, 0
2.6560, 407, 576, 0, 0
2.6810, 405, 576, 0, 0
2.7060, 407, 576, 0, 0
2.7310, 405, 575, 0, 0
2.7560, 406, 575, 0, 0
2.7810, 404, 575, 0, 0
2.8060, 404, 577, 0, 0
2.8300, 403, 576, 0, 0
2.8560, 405, 576, 0, 0
2.8800, 404, 576, 0, 0
2.9060, 405, 575, 0, 0
2.9310, 405, 575, 0, 0
2.9550, 404, 576, 0, 0
2.9810, 405, 575, 0, 0
3.0050, 406, 574, 0, 0
3.0300, 406, 573, 0, 0
3.0560, 408, 573, 0, 0
3.0800, 406, 573, 0, 0
3.1060, 408, 573, 0, 0
3.1300, 408, 571, 0, 0
3.1550, 408, 572, 0, 0
3.1800, 407, 570, 0, 0
3.2050, 410, 570, 0, 0
3.2300, 409, 567, 0, 0
3.2550, 413, 567, 0, 0
3.2800, 410, 565, 0, 0
3.3050, 414, 566, 0, 0
3.3300, 410, 563, 0, 0
3.3550, 416, 562, 0, 0
3.3800, 412, 561, 0, 0
3.4050, 417, 561, 0, 0
3.4290, 411, 561, 0, 0
3.4550, 415, 561, 0, 0
3.4790, 413, 560, 0, 0
3.5050, 413, 559, 0, 0
3.5300, 413, 562, 0, 0
3.5540, 409, 561, 0, 0
3.5800, 413, 563, 0, 0
3.6040, 411, 563, 0, 0
3.6290, 415, 563, 0, 0
3.6550, 411, 563, 0, 0
3.6790, 416, 564, 0, 0
3.7050, 413, 565, 0, 0
3.7290, 417, 565, 0, 0
3.7540, 419, 566, 0, 0
3.7800, 420, 564, 0, 0
3.8040, 418, 564, 0, 0
3.8290, 421, 564, 0, 0
3.8540, 420, 563, 0, 0
3.8790, 421, 562, 0, 0
3.9040, 426, 562, 0, 0
3.9290, 424, 561, 0, 0
3.9540, 425, 561, 0, 0
3.9790, 426, 561, 0, 0
4.0040, 424, 563, 0, 0
4.0280, 425, 561, 0, 0
4.0540, 424, 561, 0, 0
4.0790, 426, 560, 0, 0
4.1040, 426, 560, 0, 0
4.1290, 426, 560, 0, 0
4.1530, 428, 560, 0, 0
4.1790, 428, 559, 0, 0
4.2030, 428, 559, 0, 0
4.2280, 429, 558, 0, 0
4.2540, 429, 559, 0, 0
4.2780, 430, 559, 0, 0
4.3040, 430, 559, 0, 0
4.3280, 430, 559, 0, 0
4.3530, 430, 560, 0, 0
4.3790, 430, 560, 0, 0
4.4030, 431, 560, 0, 0
4.4280, 430, 559, 0, 0
4.4530, 430, 560, 0, 0
4.4780, 430, 561, 0, 0
4.5030, 430, 561, 0, 0
4.5280, 430, 561, 0, 0
4.5530, 431, 560, 0, 0
4.5780, 431, 561, 0, 0
4.6030, 430, 561, 0, 0
4.6270, 429, 560, 0, 0
4.6530, 430, 560, 0, 0
4.6780, 430, 558, 0, 0
4.7030, 430, 557, 0, 0
4.7280, 430, 556, 0, 0
4.7520, 430, 555, 0, 0
4.7780, 429, 554, 0, 0
4.8030, 431, 552, 0, 0
4.8270, 425, 552, 0, 0
4.8530, 430, 552, 0, 0
4.8770, 427, 550, 0, 0
4.9030, 419, 549, 0, 0
4.9270, 418, 549, 0, 0
4.9520, 425, 553, 0, 0
4.9780, 415, 550, 0, 0
5.0020, 414, 550, 0, 0
5.0270, 415, 550, 0, 0
5.0520, 418, 555, 0, 0
5.0770, 412, 552, 0, 0
5.1030, 416, 556, 0, 0
5.1270, 417, 556, 0, 0
5.1520, 415, 555, 0, 0
5.1770, 410, 551, 0, 0
5.2020, 417, 555, 0, 0
5.2260, 416, 551, 0, 0
5.2520, 417, 553, 0, 0
5.2770, 419, 552, 0, 0
5.3020, 415, 550, 0, 0
5.3270, 421, 550, 0, 0
5.3510, 416, 550, 0, 0
5.3770, 418, 549, 0, 0
5.4020, 420, 547, 0, 0
5.4260, 416, 546, 0, 0
5.4520, 421, 549, 0, 0
5.4760, 418, 543, 0, 0
5.5020, 421, 541, 0, 0
5.5260, 418, 540, 0, 0
5.5510, 420, 539, 0, 0
5.5770, 419, 535, 0, 0
5.6010, 419, 529, 0, 0
5.6260, 416, 528, 0, 0
5.6510, 411, 518, 0, 0
5.6760, 413, 513, 0, 0
5.7020, 406, 506, 0, 0
5.7260, 408, 504, 0, 0
5.7510, 404, 498, 0, 0
5.7760, 406, 496, 0, 0
5.8010, 405, 491, 0, 1
5.8250, 406, 493, 0, 0
5.8510, 402, 489, 0, 1
5.8760, 405, 488, 0, 1
5.9010, 401, 489, 0, 1
5.9260, 402, 492, 0, 1
5.9500, 400, 490, 0, 1
5.9760, 404, 491, 0, 1
6.0010, 400, 490, 0, 1
6.0250, 402, 493, 0, 0
6.0510, 400, 493, 0, 0
6.0750, 402, 493, 0, 0
6.1010, 399, 493, 0, 0
6.1260, 401, 494, 0, 0
6.1500, 399, 494, 0, 0
6.1760, 402, 495, 0, 0
6.2000, 401, 494, 0, 0
6.2250, 402, 496, 0, 0
6.2500, 401, 496, 0, 0
6.2750, 405, 496, 0, 0
6.3010, 403, 495, 0, 0
6.3250, 406, 496, 0, 0
6.3500, 404, 496, 0, 0
6.3750, 407, 499, 0, 0
6.4000, 406, 499, 0, 0
6.4250, 407, 501, 0, 0
6.4500, 406, 500, 0, 0
6.4750, 407, 501, 0, 0
6.5000, 405, 501, 0, 0
6.5250, 406, 504, 0, 0
6.5490, 404, 504, 0, 0
6.5750, 404, 506, 0, 0
6.6000, 402, 507, 0, 0
6.6240, 402, 509, 0, 0
6.6500, 398, 509, 0, 0
6.6740, 397, 511, 0, 0
6.7000, 394, 512, 0, 0
6.7250, 392, 514, 0, 0
6.7490, 389, 515, 0, 0
6.7750, 387, 517, 0, 0
6.7990, 385, 517, 0, 0
6.8240, 384, 519, 0, 0
6.8490, 382, 519, 0, 0
6.8740, 380, 521, 0, 0
6.9000, 377, 521, 0, 0
6.9240, 376, 523, 0, 0
6.9490, 375, 524, 0, 0
6.9740, 377, 525, 0, 0
6.9990, 375, 524, 0, 0
7.0240, 376, 525, 0, 0
7.0490, 375, 526, 0, 0
