=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2025.03.31 09:56:34 =~=~=~=~=~=~=~=~=~=~=~=
Vibration OFF
 
Vibration ON
Vibration OFF
Down threshold:   f_down_thr = 482
Up threshold:   f_up_thr = 402
Trial 1 started
time, up, down, lbl_up, lbl_down
0.0000, 401, 492, 1, 0
0.0100, 401, 491, 1, 0
0.0360, 401, 491, 1, 0
0.0600, 400, 490, 1, 0
0.0850, 399, 489, 1, 0
0.1100, 399, 490, 1, 0
0.1350, 400, 490, 1, 0
0.1590, 401, 491, 1, 0
0.1850, 401, 490, 1, 0
0.2100, 401, 490, 1, 0
0.2350, 401, 491, 1, 0
0.2600, 401, 492, 1, 0
0.2840, 401, 492, 1, 0
0.3100, 402, 493, 0, 0
0.3350, 402, 493, 0, 0
0.3590, 403, 494, 0, 0
0.3850, 403, 494, 0, 0
0.4090, 403, 495, 0, 0
0.4350, 404, 495, 0, 0
0.4600, 404, 495, 0, 0
0.4840, 405, 495, 0, 0
0.5100, 405, 495, 0, 0
0.5340, 405, 495, 0, 0
0.5590, 406, 495, 0, 0
0.5840, 406, 495, 0, 0
0.6090, 407, 494, 0, 0
0.6350, 408, 493, 0, 0
0.6590, 409, 489, 0, 0
0.6840, 409, 484, 0, 0
0.7090, 411, 479, 0, 1
0.7340, 412, 474, 0, 1
0.7590, 413, 471, 0, 1
0.7840, 413, 469, 0, 1
0.8090, 413, 468, 0, 1
0.8340, 412, 467, 0, 1
0.8590, 412, 467, 0, 1
0.8830, 413, 467, 0, 1
0.9090, 413, 468, 0, 1
0.9340, 412, 468, 0, 1
0.9580, 412, 467, 0, 1
0.9840, 412, 466, 0, 1
1.0080, 412, 464, 0, 1
1.0340, 411, 462, 0, 1
1.0590, 410, 460, 0, 1
1.0830, 411, 460, 0, 1
1.1090, 411, 460, 0, 1
1.1330, 411, 459, 0, 1
1.1580, 410, 458, 0, 1
1.1830, 409, 457, 0, 1
1.2080, 409, 457, 0, 1
1.2340, 409, 457, 0, 1
1.2580, 409, 457, 0, 1
1.2830, 410, 458, 0, 1
1.3080, 410, 459, 0, 1
1.3330, 410, 460, 0, 1
1.3580, 411, 459, 0, 1
1.3830, 410, 460, 0, 1
1.4080, 411, 460, 0, 1
1.4330, 411, 461, 0, 1
1.4580, 411, 461, 0, 1
1.4830, 412, 461, 0, 1
1.5080, 412, 460, 0, 1
1.5330, 411, 460, 0, 1
1.5570, 411, 460, 0, 1
1.5830, 411, 460, 0, 1
1.6070, 412, 461, 0, 1
1.6330, 413, 461, 0, 1
1.6580, 413, 462, 0, 1
1.6820, 414, 464, 0, 1
1.7080, 415, 465, 0, 1
1.7320, 415, 465, 0, 1
1.7570, 416, 465, 0, 1
1.7830, 416, 466, 0, 1
1.8070, 416, 466, 0, 1
1.8330, 416, 465, 0, 1
1.8570, 416, 466, 0, 1
1.8820, 417, 466, 0, 1
1.9070, 417, 466, 0, 1
1.9320, 417, 466, 0, 1
1.9570, 417, 466, 0, 1
1.9820, 417, 466, 0, 1
2.0070, 417, 467, 0, 1
2.0320, 417, 467, 0, 1
2.0570, 418, 468, 0, 1
2.0820, 418, 468, 0, 1
2.1070, 418, 469, 0, 1
2.1320, 418, 469, 0, 1
2.1560, 418, 470, 0, 1
2.1820, 418, 471, 0, 1
2.2060, 418, 471, 0, 1
2.2320, 418, 472, 0, 1
2.2570, 418, 472, 0, 1
2.2810, 419, 472, 0, 1
2.3070, 419, 473, 0, 1
2.3310, 419, 474, 0, 1
2.3560, 420, 474, 0, 1
2.3820, 419, 476, 0, 1
2.4060, 419, 478, 0, 1
2.4320, 420, 479, 0, 1
2.4560, 420, 479, 0, 1
2.4810, 420, 480, 0, 1
2.5070, 421, 480, 0, 1
2.5310, 422, 480, 0, 1
2.5560, 423, 480, 0, 1
2.5810, 423, 480, 0, 1
2.6060, 424, 481, 0, 1
2.6310, 425, 481, 0, 1
2.6560, 426, 481, 0, 1
2.6810, 427, 482, 0, 0
2.7060, 427, 484, 0, 0
2.7310, 428, 484, 0, 0
2.7550, 428, 485, 0, 0
2.7810, 428, 486, 0, 0
2.8060, 428, 486, 0, 0
2.8310, 429, 486, 0, 0
2.8560, 429, 487, 0, 0
2.8800, 429, 488, 0, 0
2.9060, 430, 489, 0, 0
2.9300, 430, 489, 0, 0
2.9550, 430, 489, 0, 0
2.9810, 430, 489, 0, 0
3.0050, 431, 490, 0, 0
