=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2024.11.13 13:07:37 =~=~=~=~=~=~=~=~=~=~=~=
Down threshold:   f_down_thr = 550
Up threshold:   f_up_thr = 491
Down threshold:   f_down_thr = 566
Up threshold:   f_up_thr = 415
Trial 1 started
time, up, down, lbl_up, lbl_down
0.0000, 448, 606, 0, 0
0.0100, 448, 606, 0, 0
0.0350, 449, 606, 0, 0
0.0590, 449, 606, 0, 0
0.0850, 448, 606, 0, 0
0.1090, 447, 606, 0, 0
0.1340, 448, 606, 0, 0
0.1600, 447, 606, 0, 0
0.1840, 446, 606, 0, 0
0.2100, 446, 606, 0, 0
0.2340, 446, 606, 0, 0
0.2590, 446, 607, 0, 0
0.2840, 445, 607, 0, 0
0.3090, 445, 607, 0, 0
0.3340, 445, 607, 0, 0
0.3590, 445, 607, 0, 0
0.3840, 445, 607, 0, 0
0.4090, 444, 608, 0, 0
0.4340, 444, 608, 0, 0
0.4590, 444, 608, 0, 0
0.4840, 443, 608, 0, 0
0.5090, 443, 608, 0, 0
0.5330, 443, 608, 0, 0
0.5590, 443, 608, 0, 0
0.5830, 444, 608, 0, 0
0.6090, 444, 607, 0, 0
0.6340, 446, 606, 0, 0
0.6580, 447, 606, 0, 0
0.6840, 448, 605, 0, 0
0.7080, 449, 604, 0, 0
0.7330, 452, 602, 0, 0
0.7590, 454, 600, 0, 0
0.7830, 456, 599, 0, 0
0.8090, 459, 597, 0, 0
0.8330, 461, 595, 0, 0
0.8580, 463, 593, 0, 0
0.8830, 465, 590, 0, 0
0.9080, 467, 589, 0, 0
0.9330, 469, 588, 0, 0
0.9580, 471, 587, 0, 0
0.9830, 472, 586, 0, 0
1.0080, 474, 586, 0, 0
1.0330, 475, 585, 0, 0
1.0580, 476, 584, 0, 0
1.0830, 478, 584, 0, 0
1.1080, 479, 583, 0, 0
1.1320, 480, 582, 0, 0
1.1580, 481, 581, 0, 0
1.1820, 482, 581, 0, 0
1.2080, 483, 582, 0, 0
1.2330, 483, 582, 0, 0
1.2570, 483, 581, 0, 0
1.2830, 484, 580, 0, 0
1.3070, 486, 579, 0, 0
1.3320, 486, 578, 0, 0
1.3580, 487, 578, 0, 0
1.3820, 487, 577, 0, 0
1.4080, 488, 578, 0, 0
1.4320, 487, 579, 0, 0
1.4570, 487, 580, 0, 0
1.4830, 487, 581, 0, 0
1.5070, 486, 583, 0, 0
1.5320, 484, 585, 0, 0
1.5570, 482, 587, 0, 0
1.5820, 480, 589, 0, 0
1.6070, 478, 591, 0, 0
1.6320, 477, 592, 0, 0
1.6570, 476, 593, 0, 0
1.6820, 475, 594, 0, 0
1.7070, 474, 595, 0, 0
1.7310, 474, 595, 0, 0
1.7570, 475, 595, 0, 0
1.7820, 474, 596, 0, 0
1.8070, 475, 596, 0, 0
1.8320, 474, 596, 0, 0
1.8560, 474, 596, 0, 0
1.8820, 473, 596, 0, 0
1.9060, 473, 597, 0, 0
1.9310, 471, 597, 0, 0
1.9570, 472, 598, 0, 0
1.9810, 472, 598, 0, 0
2.0070, 471, 599, 0, 0
2.0310, 471, 598, 0, 0
2.0560, 470, 599, 0, 0
2.0820, 469, 599, 0, 0
2.1060, 469, 599, 0, 0
2.1310, 468, 599, 0, 0
2.1560, 466, 598, 0, 0
2.1810, 465, 599, 0, 0
2.2060, 465, 599, 0, 0
2.2310, 465, 599, 0, 0
2.2560, 464, 598, 0, 0
2.2810, 463, 599, 0, 0
2.3060, 463, 599, 0, 0
2.3300, 462, 599, 0, 0
2.3560, 463, 599, 0, 0
2.3810, 464, 599, 0, 0
2.4060, 463, 599, 0, 0
2.4310, 463, 599, 0, 0
2.4550, 465, 598, 0, 0
2.4810, 464, 599, 0, 0
2.5050, 464, 599, 0, 0
2.5300, 463, 599, 0, 0
2.5560, 463, 600, 0, 0
2.5800, 463, 599, 0, 0
2.6060, 462, 599, 0, 0
2.6300, 462, 599, 0, 0
2.6550, 462, 600, 0, 0
2.6810, 462, 600, 0, 0
2.7050, 462, 600, 0, 0
2.7300, 461, 600, 0, 0
2.7550, 461, 599, 0, 0
2.7800, 460, 601, 0, 0
2.8060, 459, 600, 0, 0
2.8300, 457, 601, 0, 0
2.8550, 456, 600, 0, 0
2.8800, 457, 601, 0, 0
2.9050, 456, 601, 0, 0
2.9290, 455, 602, 0, 0
2.9550, 455, 602, 0, 0
2.9800, 456, 602, 0, 0
3.0050, 455, 603, 0, 0
3.0300, 455, 602, 0, 0
3.0540, 454, 603, 0, 0
3.0800, 453, 603, 0, 0
3.1050, 451, 604, 0, 0
3.1290, 451, 604, 0, 0
3.1550, 451, 603, 0, 0
3.1790, 451, 604, 0, 0
3.2050, 450, 604, 0, 0
3.2290, 450, 605, 0, 0
3.2540, 450, 604, 0, 0
3.2800, 449, 605, 0, 0
3.3040, 448, 606, 0, 0
3.3290, 448, 605, 0, 0
3.3540, 447, 606, 0, 0
3.3790, 446, 606, 0, 0
3.4050, 445, 606, 0, 0
3.4290, 445, 607, 0, 0
3.4540, 444, 607, 0, 0
3.4790, 444, 608, 0, 0
3.5040, 444, 608, 0, 0
3.5280, 442, 608, 0, 0
3.5540, 441, 609, 0, 0
3.5790, 440, 609, 0, 0
3.6040, 440, 609, 0, 0
3.6290, 439, 610, 0, 0
3.6530, 439, 609, 0, 0
3.6790, 439, 610, 0, 0
3.7040, 438, 610, 0, 0
3.7280, 438, 610, 0, 0
3.7540, 438, 611, 0, 0
3.7780, 437, 611, 0, 0
3.8040, 437, 611, 0, 0
3.8280, 436, 611, 0, 0
3.8530, 436, 611, 0, 0
3.8790, 435, 612, 0, 0
3.9030, 435, 612, 0, 0
3.9280, 435, 613, 0, 0
3.9530, 434, 612, 0, 0
3.9780, 434, 613, 0, 0
4.0040, 433, 613, 0, 0
4.0280, 433, 614, 0, 0
4.0530, 431, 614, 0, 0
4.0780, 429, 615, 0, 0
4.1030, 429, 615, 0, 0
4.1280, 428, 615, 0, 0
4.1530, 427, 616, 0, 0
4.1780, 428, 616, 0, 0
4.2030, 429, 616, 0, 0
4.2280, 428, 616, 0, 0
4.2520, 429, 615, 0, 0
4.2780, 427, 616, 0, 0
4.3030, 427, 616, 0, 0
4.3270, 427, 617, 0, 0
4.3530, 426, 617, 0, 0
4.3770, 425, 617, 0, 0
4.4030, 426, 617, 0, 0
4.4280, 425, 618, 0, 0
4.4520, 426, 617, 0, 0
4.4780, 426, 617, 0, 0
4.5020, 426, 618, 0, 0
4.5270, 426, 619, 0, 0
4.5520, 425, 618, 0, 0
4.5770, 425, 619, 0, 0
4.6030, 425, 619, 0, 0
4.6270, 425, 619, 0, 0
4.6520, 425, 620, 0, 0
4.6770, 425, 620, 0, 0
4.7020, 424, 620, 0, 0
