=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2024.11.15 12:45:53 =~=~=~=~=~=~=~=~=~=~=~=
Down threshold:   f_down_thr = 530
Up threshold:   f_up_thr = 436
Trial 1 started
time, up, down, lbl_up, lbl_down
0.0000, 489, 572, 0, 0
0.0110, 490, 572, 0, 0
0.0360, 491, 572, 0, 0
0.0610, 491, 572, 0, 0
0.0850, 491, 571, 0, 0
0.1110, 493, 569, 0, 0
0.1360, 494, 568, 0, 0
0.1600, 494, 569, 0, 0
0.1860, 494, 569, 0, 0
0.2100, 494, 569, 0, 0
0.2360, 494, 569, 0, 0
0.2600, 494, 570, 0, 0
0.2850, 495, 572, 0, 0
0.3110, 494, 572, 0, 0
0.3350, 495, 573, 0, 0
0.3600, 495, 574, 0, 0
0.3850, 494, 575, 0, 0
0.4100, 494, 575, 0, 0
0.4360, 493, 576, 0, 0
0.4600, 493, 575, 0, 0
0.4850, 494, 575, 0, 0
0.5100, 493, 575, 0, 0
0.5350, 492, 575, 0, 0
0.5590, 493, 574, 0, 0
0.5850, 494, 573, 0, 0
0.6100, 494, 574, 0, 0
0.6350, 493, 574, 0, 0
0.6600, 494, 574, 0, 0
0.6840, 494, 574, 0, 0
0.7100, 494, 575, 0, 0
0.7350, 493, 575, 0, 0
0.7590, 494, 576, 0, 0
0.7850, 494, 576, 0, 0
0.8090, 494, 576, 0, 0
0.8350, 494, 577, 0, 0
0.8600, 494, 577, 0, 0
0.8840, 493, 577, 0, 0
0.9100, 494, 577, 0, 0
0.9340, 493, 578, 0, 0
0.9590, 492, 578, 0, 0
0.9840, 491, 579, 0, 0
1.0090, 491, 579, 0, 0
1.0350, 491, 579, 0, 0
1.0590, 490, 580, 0, 0
1.0840, 488, 581, 0, 0
1.1090, 489, 581, 0, 0
1.1340, 489, 582, 0, 0
1.1590, 488, 582, 0, 0
1.1840, 486, 583, 0, 0
1.2090, 485, 584, 0, 0
1.2340, 484, 585, 0, 0
1.2590, 484, 585, 0, 0
1.2830, 482, 587, 0, 0
1.3090, 481, 588, 0, 0
1.3340, 481, 588, 0, 0
1.3580, 480, 590, 0, 0
1.3840, 479, 590, 0, 0
1.4080, 478, 590, 0, 0
1.4340, 477, 591, 0, 0
1.4590, 477, 591, 0, 0
1.4830, 476, 592, 0, 0
1.5090, 476, 592, 0, 0
1.5330, 474, 592, 0, 0
1.5580, 474, 593, 0, 0
1.5830, 473, 592, 0, 0
1.6080, 471, 593, 0, 0
1.6340, 469, 594, 0, 0
1.6580, 468, 595, 0, 0
1.6830, 467, 595, 0, 0
1.7080, 465, 595, 0, 0
1.7330, 465, 595, 0, 0
1.7580, 464, 596, 0, 0
1.7830, 463, 597, 0, 0
1.8080, 462, 597, 0, 0
1.8330, 462, 598, 0, 0
1.8580, 459, 598, 0, 0
1.8830, 460, 598, 0, 0
1.9080, 461, 599, 0, 0
