=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2024.11.11 14:11:43 =~=~=~=~=~=~=~=~=~=~=~=
Introduce the down threshold: 609 
 
Introduce the up threshold: 507 
 
Vibration OFF
Vibration ON
Down threshold:   f_down_thr = 572
Up threshold:   f_up_thr = 510
Trial 4 started
time, up, down, lbl_up, lbl_down
0.0000, 505, 600, 1, 0
0.0100, 505, 585, 1, 0
0.0350, 504, 580, 1, 0
0.0610, 503, 600, 1, 0
0.0850, 504, 599, 1, 0
0.1100, 503, 581, 1, 0
0.1350, 502, 582, 1, 0
0.1600, 502, 581, 1, 0
0.1860, 501, 600, 1, 0
0.2100, 501, 582, 1, 0
0.2350, 501, 582, 1, 0
0.2600, 500, 582, 1, 0
0.2850, 500, 600, 1, 0
0.3100, 499, 587, 1, 0
0.3350, 499, 582, 1, 0
0.3600, 497, 583, 1, 0
0.3850, 497, 601, 1, 0
0.4100, 497, 587, 1, 0
0.4340, 497, 583, 1, 0
0.4600, 498, 583, 1, 0
0.4850, 499, 582, 1, 0
0.5090, 500, 583, 1, 0
0.5350, 501, 581, 1, 0
0.5590, 503, 586, 1, 0
0.5850, 505, 600, 1, 0
0.6100, 506, 600, 1, 0
0.6340, 508, 585, 1, 0
0.6600, 509, 585, 1, 0
0.6840, 511, 600, 0, 0
0.7090, 512, 599, 0, 0
0.7340, 513, 598, 0, 0
0.7590, 513, 597, 0, 0
0.7850, 513, 598, 0, 0
0.8090, 513, 598, 0, 0
0.8340, 512, 598, 0, 0
0.8590, 512, 598, 0, 0
0.8840, 510, 598, 0, 0
0.9090, 510, 599, 0, 0
0.9340, 509, 599, 1, 0
0.9590, 508, 580, 1, 0
0.9840, 507, 577, 1, 0
1.0090, 506, 598, 1, 0
1.0330, 503, 599, 1, 0
1.0590, 502, 585, 1, 0
1.0840, 502, 587, 1, 0
1.1080, 503, 582, 1, 0
1.1340, 502, 601, 1, 0
1.1580, 502, 583, 1, 0
1.1840, 501, 583, 1, 0
1.2090, 500, 584, 1, 0
1.2330, 499, 602, 1, 0
1.2590, 498, 589, 1, 0
1.2830, 497, 589, 1, 0
1.3080, 497, 585, 1, 0
1.3340, 497, 590, 1, 0
1.3580, 496, 586, 1, 0
1.3840, 496, 583, 1, 0
1.4080, 493, 583, 1, 0
1.4330, 493, 587, 1, 0
1.4580, 493, 591, 1, 0
1.4830, 492, 588, 1, 0
1.5080, 491, 588, 1, 0
1.5330, 491, 588, 1, 0
