=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2025.03.31 10:24:38 =~=~=~=~=~=~=~=~=~=~=~=
Vibration OFF
Down threshold:   f_down_thr = 475
 
Up threshold:   f_up_thr = 64
Up threshold:   f_up_thr = 31
Up threshold:   f_up_thr = 33
 
Up threshold:   f_up_thr = 324
Down threshold:   f_down_thr = 439
Up threshold:   f_up_thr = 377
Trial 1 started
time, up, down, lbl_up, lbl_down
0.0000, 418, 490, 0, 0
0.0110, 418, 490, 0, 0
0.0350, 418, 490, 0, 0
0.0600, 417, 490, 0, 0
0.0850, 418, 490, 0, 0
0.1100, 418, 490, 0, 0
0.1360, 418, 490, 0, 0
0.1600, 418, 490, 0, 0
0.1850, 418, 490, 0, 0
0.2100, 418, 490, 0, 0
0.2350, 418, 490, 0, 0
0.2600, 418, 490, 0, 0
0.2850, 418, 491, 0, 0
0.3100, 416, 491, 0, 0
0.3350, 416, 491, 0, 0
0.3600, 417, 491, 0, 0
0.3840, 417, 491, 0, 0
0.4100, 418, 491, 0, 0
0.4350, 418, 490, 0, 0
0.4590, 418, 491, 0, 0
0.4850, 417, 491, 0, 0
0.5090, 417, 492, 0, 0
0.5350, 417, 491, 0, 0
0.5600, 417, 492, 0, 0
0.5840, 416, 492, 0, 0
0.6100, 415, 492, 0, 0
0.6340, 415, 493, 0, 0
0.6590, 414, 493, 0, 0
0.6840, 413, 494, 0, 0
0.7090, 413, 494, 0, 0
0.7350, 412, 495, 0, 0
0.7590, 409, 496, 0, 0
0.7840, 408, 497, 0, 0
0.8090, 409, 497, 0, 0
0.8340, 409, 497, 0, 0
0.8590, 409, 498, 0, 0
0.8840, 409, 498, 0, 0
0.9090, 406, 498, 0, 0
0.9340, 402, 500, 0, 0
0.9590, 404, 500, 0, 0
0.9840, 404, 500, 0, 0
1.0090, 400, 501, 0, 0
1.0340, 400, 502, 0, 0
1.0580, 400, 502, 0, 0
1.0840, 398, 503, 0, 0
1.1080, 398, 504, 0, 0
