=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2025.04.02 10:24:46 =~=~=~=~=~=~=~=~=~=~=~=
Vibration OFF
Vibration ON
Vibration OFF
Vibration ON
Vibration OFF
Down threshold:   f_down_thr = 489
Up threshold:   f_up_thr = 351
Trial 1 started
time, up, down, lbl_up, lbl_down
0.0000, 382, 496, 0, 0
0.0110, 382, 496, 0, 0
0.0350, 381, 497, 0, 0
0.0610, 381, 497, 0, 0
0.0850, 381, 496, 0, 0
0.1100, 381, 496, 0, 0
0.1350, 381, 497, 0, 0
0.1600, 381, 496, 0, 0
0.1850, 381, 497, 0, 0
0.2100, 381, 497, 0, 0
0.2350, 381, 497, 0, 0
0.2600, 380, 497, 0, 0
0.2850, 380, 497, 0, 0
0.3100, 380, 497, 0, 0
0.3350, 379, 497, 0, 0
0.3600, 379, 497, 0, 0
0.3840, 378, 497, 0, 0
0.4100, 377, 497, 0, 0
0.4340, 376, 497, 0, 0
0.4600, 374, 497, 0, 0
0.4850, 372, 497, 0, 0
0.5090, 371, 497, 0, 0
0.5350, 370, 497, 0, 0
0.5590, 369, 497, 0, 0
0.5840, 368, 497, 0, 0
0.6100, 367, 497, 0, 0
0.6340, 367, 498, 0, 0
0.6600, 366, 498, 0, 0
0.6840, 366, 498, 0, 0
0.7090, 366, 499, 0, 0
0.7340, 365, 499, 0, 0
0.7590, 364, 499, 0, 0
0.7840, 364, 500, 0, 0
0.8090, 363, 500, 0, 0
0.8340, 363, 501, 0, 0
0.8590, 363, 502, 0, 0
0.8840, 362, 502, 0, 0
0.9090, 363, 502, 0, 0
0.9340, 363, 503, 0, 0
0.9590, 362, 504, 0, 0
0.9830, 362, 505, 0, 0
1.0090, 363, 506, 0, 0
1.0330, 361, 506, 0, 0
1.0590, 361, 507, 0, 0
1.0840, 360, 508, 0, 0
1.1080, 360, 509, 0, 0
1.1340, 360, 510, 0, 0
1.1580, 361, 511, 0, 0
1.1830, 362, 511, 0, 0
1.2090, 361, 512, 0, 0
1.2330, 361, 513, 0, 0
1.2590, 361, 514, 0, 0
1.2830, 360, 515, 0, 0
1.3080, 361, 516, 0, 0
1.3340, 361, 517, 0, 0
1.3580, 361, 519, 0, 0
1.3830, 360, 521, 0, 0
1.4080, 359, 522, 0, 0
1.4330, 359, 523, 0, 0
1.4580, 360, 524, 0, 0
1.4830, 361, 525, 0, 0
1.5080, 362, 525, 0, 0
1.5330, 363, 526, 0, 0
1.5580, 364, 526, 0, 0
1.5820, 365, 526, 0, 0
1.6080, 365, 527, 0, 0
1.6330, 365, 527, 0, 0
1.6580, 365, 527, 0, 0
1.6830, 366, 527, 0, 0
1.7070, 365, 527, 0, 0
1.7330, 366, 527, 0, 0
1.7570, 366, 527, 0, 0
1.7820, 366, 526, 0, 0
1.8080, 367, 526, 0, 0
1.8320, 367, 525, 0, 0
1.8580, 368, 525, 0, 0
1.8820, 368, 524, 0, 0
1.9070, 368, 524, 0, 0
1.9330, 369, 524, 0, 0
1.9570, 368, 522, 0, 0
1.9820, 368, 521, 0, 0
2.0070, 368, 521, 0, 0
2.0320, 368, 520, 0, 0
2.0570, 368, 518, 0, 0
2.0820, 368, 517, 0, 0
2.1070, 368, 515, 0, 0
2.1320, 368, 511, 0, 0
2.1570, 370, 511, 0, 0
2.1810, 370, 510, 0, 0
2.2070, 370, 508, 0, 0
2.2320, 370, 507, 0, 0
2.2570, 370, 503, 0, 0
2.2820, 370, 500, 0, 0
2.3060, 371, 500, 0, 0
2.3320, 371, 499, 0, 0
2.3570, 370, 496, 0, 0
2.3810, 371, 495, 0, 0
2.4070, 372, 495, 0, 0
2.4310, 372, 494, 0, 0
2.4570, 372, 495, 0, 0
2.4810, 373, 495, 0, 0
2.5060, 372, 495, 0, 0
2.5320, 372, 495, 0, 0
2.5560, 372, 495, 0, 0
2.5810, 372, 494, 0, 0
2.6060, 371, 494, 0, 0
2.6310, 371, 495, 0, 0
2.6570, 370, 495, 0, 0
2.6810, 369, 495, 0, 0
2.7060, 369, 495, 0, 0
2.7310, 368, 495, 0, 0
2.7560, 367, 495, 0, 0
2.7800, 367, 496, 0, 0
2.8060, 365, 496, 0, 0
2.8310, 364, 496, 0, 0
2.8560, 365, 496, 0, 0
2.8810, 364, 496, 0, 0
2.9050, 363, 496, 0, 0
2.9310, 364, 497, 0, 0
2.9560, 363, 498, 0, 0
2.9800, 361, 499, 0, 0
3.0060, 361, 499, 0, 0
3.0300, 361, 500, 0, 0
3.0560, 360, 501, 0, 0
3.0800, 359, 501, 0, 0
3.1050, 358, 502, 0, 0
3.1310, 358, 502, 0, 0
3.1550, 358, 503, 0, 0
3.1800, 357, 504, 0, 0
3.2050, 356, 504, 0, 0
3.2300, 355, 504, 0, 0
3.2560, 355, 504, 0, 0
3.2800, 357, 505, 0, 0
3.3050, 359, 505, 0, 0
3.3300, 361, 506, 0, 0
3.3550, 363, 507, 0, 0
3.3790, 363, 508, 0, 0
3.4050, 365, 508, 0, 0
3.4300, 366, 509, 0, 0
3.4550, 367, 509, 0, 0
3.4800, 368, 509, 0, 0
3.5040, 368, 511, 0, 0
3.5300, 368, 512, 0, 0
3.5550, 368, 513, 0, 0
3.5790, 368, 514, 0, 0
3.6050, 368, 515, 0, 0
3.6290, 367, 516, 0, 0
3.6550, 367, 517, 0, 0
3.6800, 367, 518, 0, 0
3.7040, 367, 519, 0, 0
3.7300, 367, 520, 0, 0
3.7540, 367, 521, 0, 0
3.7790, 368, 522, 0, 0
3.8040, 368, 523, 0, 0
3.8290, 368, 524, 0, 0
3.8550, 368, 525, 0, 0
3.8790, 369, 525, 0, 0
3.9040, 369, 525, 0, 0
3.9290, 370, 525, 0, 0
3.9540, 370, 526, 0, 0
3.9790, 370, 526, 0, 0
4.0040, 370, 527, 0, 0
4.0290, 370, 527, 0, 0
4.0540, 371, 527, 0, 0
4.0790, 371, 527, 0, 0
4.1030, 371, 527, 0, 0
4.1290, 371, 526, 0, 0
4.1540, 372, 526, 0, 0
4.1780, 372, 525, 0, 0
4.2040, 373, 525, 0, 0
4.2280, 372, 524, 0, 0
4.2540, 372, 523, 0, 0
4.2790, 373, 522, 0, 0
4.3030, 373, 521, 0, 0
4.3290, 372, 520, 0, 0
4.3530, 373, 520, 0, 0
4.3780, 372, 520, 0, 0
4.4030, 372, 519, 0, 0
4.4280, 373, 516, 0, 0
4.4540, 373, 513, 0, 0
4.4780, 373, 509, 0, 0
4.5030, 374, 508, 0, 0
4.5280, 375, 508, 0, 0
4.5530, 374, 506, 0, 0
4.5780, 375, 505, 0, 0
4.6030, 376, 504, 0, 0
4.6280, 375, 502, 0, 0
4.6530, 376, 501, 0, 0
4.6780, 376, 500, 0, 0
4.7020, 376, 497, 0, 0
4.7280, 376, 496, 0, 0
4.7530, 376, 496, 0, 0
4.7770, 377, 495, 0, 0
4.8030, 377, 495, 0, 0
4.8270, 377, 495, 0, 0
4.8530, 377, 495, 0, 0
4.8780, 377, 495, 0, 0
4.9020, 377, 496, 0, 0
4.9280, 376, 496, 0, 0
4.9520, 376, 497, 0, 0
4.9770, 375, 498, 0, 0
5.0030, 375, 498, 0, 0
5.0270, 375, 497, 0, 0
5.0530, 375, 497, 0, 0
5.0770, 374, 498, 0, 0
5.1020, 373, 498, 0, 0
5.1270, 372, 499, 0, 0
5.1520, 371, 500, 0, 0
5.1770, 370, 500, 0, 0
