=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2024.11.11 11:44:04 =~=~=~=~=~=~=~=~=~=~=~=
Vibration OFF
Vibration ON
Introduce the down threshold: 607 
 
Introduce the up threshold: 473 
 
Trial 1 started
time, up, down, lbl_up, lbl_down
0.0000, 550, 591, 0, 1
0.0090, 550, 572, 0, 1
0.0350, 551, 571, 0, 1
0.0590, 551, 574, 0, 1
0.0850, 552, 572, 0, 1
0.1100, 552, 575, 0, 1
0.1340, 552, 573, 0, 1
0.1600, 552, 573, 0, 1
0.1840, 552, 575, 0, 1
0.2090, 551, 577, 0, 1
0.2350, 551, 575, 0, 1
0.2590, 551, 575, 0, 1
0.2850, 551, 574, 0, 1
0.3090, 551, 575, 0, 1
0.3340, 552, 577, 0, 1
0.3600, 552, 575, 0, 1
0.3840, 552, 575, 0, 1
0.4090, 551, 576, 0, 1
0.4340, 551, 576, 0, 1
0.4590, 551, 577, 0, 1
0.4840, 550, 576, 0, 1
0.5090, 550, 577, 0, 1
0.5340, 550, 577, 0, 1
0.5590, 550, 580, 0, 1
0.5840, 551, 577, 0, 1
0.6080, 551, 576, 0, 1
0.6340, 552, 578, 0, 1
0.6590, 552, 576, 0, 1
0.6840, 552, 576, 0, 1
0.7090, 552, 576, 0, 1
0.7330, 552, 577, 0, 1
0.7590, 552, 576, 0, 1
0.7830, 551, 577, 0, 1
0.8080, 551, 579, 0, 1
0.8340, 549, 578, 0, 1
0.8580, 546, 580, 0, 1
0.8840, 544, 583, 0, 1
0.9080, 544, 581, 0, 1
0.9330, 544, 580, 0, 1
0.9590, 544, 581, 0, 1
0.9830, 543, 584, 0, 1
1.0080, 544, 584, 0, 1
1.0330, 544, 580, 0, 1
1.0580, 545, 579, 0, 1
1.0830, 545, 581, 0, 1
1.1080, 543, 581, 0, 1
1.1330, 541, 582, 0, 1
1.1580, 538, 582, 0, 1
1.1830, 536, 586, 0, 1
1.2070, 530, 587, 0, 1
1.2330, 522, 589, 0, 1
1.2580, 516, 591, 0, 1
1.2830, 515, 589, 0, 1
1.3080, 516, 590, 0, 1
1.3320, 518, 605, 0, 1
1.3580, 518, 607, 0, 0
1.3830, 513, 607, 0, 0
1.4070, 506, 608, 0, 0
1.4330, 498, 610, 0, 0
1.4570, 492, 612, 0, 0
1.4830, 490, 614, 0, 0
1.5070, 488, 615, 0, 0
1.5320, 485, 615, 0, 0
1.5580, 482, 617, 0, 0
1.5820, 480, 618, 0, 0
1.6070, 480, 619, 0, 0
1.6320, 482, 619, 0, 0
1.6570, 484, 619, 0, 0
1.6830, 483, 619, 0, 0
1.7070, 481, 620, 0, 0
1.7320, 476, 621, 0, 0
1.7570, 473, 622, 0, 0
1.7820, 470, 623, 1, 0
1.8060, 469, 605, 1, 1
1.8320, 466, 605, 1, 1
1.8570, 461, 627, 1, 0
1.8820, 457, 612, 1, 0
1.9070, 455, 614, 1, 0
1.9310, 454, 618, 1, 0
1.9570, 455, 618, 1, 0
1.9820, 457, 615, 1, 0
2.0060, 459, 619, 1, 0
2.0320, 461, 615, 1, 0
2.0560, 464, 615, 1, 0
2.0820, 466, 630, 1, 0
2.1060, 467, 618, 1, 0
2.1310, 468, 618, 1, 0
2.1570, 468, 618, 1, 0
2.1810, 468, 630, 1, 0
2.2060, 466, 618, 1, 0
2.2310, 463, 616, 1, 0
2.2560, 458, 621, 1, 0
2.2820, 456, 621, 1, 0
2.3060, 453, 620, 1, 0
2.3310, 453, 620, 1, 0
2.3560, 456, 620, 1, 0
2.3810, 460, 620, 1, 0
2.4050, 462, 619, 1, 0
2.4310, 464, 622, 1, 0
2.4560, 465, 622, 1, 0
2.4810, 465, 618, 1, 0
2.5060, 465, 634, 1, 0
2.5300, 465, 618, 1, 0
2.5560, 466, 618, 1, 0
2.5810, 466, 619, 1, 0
2.6050, 468, 633, 1, 0
2.6310, 472, 619, 1, 0
2.6550, 477, 614, 0, 0
2.6810, 479, 627, 0, 0
2.7060, 480, 627, 0, 0
2.7300, 479, 628, 0, 0
2.7560, 478, 629, 0, 0
2.7800, 476, 630, 0, 0
2.8050, 475, 630, 0, 0
2.8300, 476, 631, 0, 0
2.8550, 476, 630, 0, 0
2.8810, 475, 631, 0, 0
2.9050, 475, 630, 0, 0
2.9300, 474, 630, 0, 0
2.9550, 475, 630, 0, 0
2.9800, 475, 630, 0, 0
3.0050, 475, 630, 0, 0
3.0300, 476, 629, 0, 0
3.0550, 476, 630, 0, 0
3.0800, 476, 630, 0, 0
3.1050, 477, 629, 0, 0
3.1290, 477, 629, 0, 0
3.1550, 477, 629, 0, 0
3.1800, 477, 630, 0, 0
3.2040, 476, 630, 0, 0
3.2300, 477, 630, 0, 0
3.2540, 477, 630, 0, 0
3.2800, 477, 630, 0, 0
3.3050, 477, 630, 0, 0
3.3290, 476, 630, 0, 0
3.3550, 475, 630, 0, 0
3.3790, 474, 630, 0, 0
3.4040, 472, 630, 1, 0
3.4290, 471, 613, 1, 0
3.4540, 470, 631, 1, 0
3.4800, 470, 620, 1, 0
3.5040, 470, 619, 1, 0
3.5290, 466, 616, 1, 0
3.5540, 461, 632, 1, 0
3.5790, 458, 617, 1, 0
3.6040, 456, 617, 1, 0
3.6290, 458, 618, 1, 0
3.6540, 459, 618, 1, 0
3.6790, 458, 618, 1, 0
3.7040, 457, 621, 1, 0
3.7280, 454, 618, 1, 0
3.7540, 452, 621, 1, 0
3.7790, 451, 620, 1, 0
3.8030, 450, 620, 1, 0
3.8290, 449, 623, 1, 0
3.8530, 448, 620, 1, 0
3.8790, 447, 624, 1, 0
3.9040, 446, 620, 1, 0
3.9280, 444, 624, 1, 0
3.9540, 443, 621, 1, 0
3.9780, 441, 624, 1, 0
4.0030, 440, 622, 1, 0
4.0290, 440, 625, 1, 0
4.0530, 439, 623, 1, 0
4.0790, 438, 623, 1, 0
4.1030, 441, 626, 1, 0
4.1280, 443, 623, 1, 0
4.1530, 444, 626, 1, 0
4.1780, 444, 623, 1, 0
4.2030, 443, 626, 1, 0
4.2280, 443, 623, 1, 0
4.2530, 443, 627, 1, 0
4.2780, 444, 623, 1, 0
4.3030, 444, 626, 1, 0
4.3280, 445, 622, 1, 0
4.3530, 446, 626, 1, 0
4.3780, 448, 623, 1, 0
4.4020, 450, 624, 1, 0
4.4280, 451, 621, 1, 0
4.4520, 451, 624, 1, 0
4.4780, 451, 621, 1, 0
4.5030, 452, 621, 1, 0
4.5270, 454, 620, 1, 0
4.5530, 456, 617, 1, 0
4.5770, 458, 617, 1, 0
4.6020, 461, 616, 1, 0
4.6280, 464, 630, 1, 0
4.6520, 466, 616, 1, 0
4.6780, 468, 611, 1, 0
4.7020, 470, 610, 1, 0
4.7270, 472, 624, 1, 0
4.7520, 474, 623, 0, 0
4.7770, 477, 621, 0, 0
4.8020, 480, 619, 0, 0
4.8270, 483, 618, 0, 0
4.8520, 485, 617, 0, 0
4.8770, 488, 615, 0, 0
4.9020, 490, 614, 0, 0
4.9270, 491, 614, 0, 0
4.9520, 492, 613, 0, 0
4.9770, 495, 613, 0, 0
5.0010, 496, 611, 0, 0
