=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2024.11.13 10:42:16 =~=~=~=~=~=~=~=~=~=~=~=
Introduce the down threshold: 607 
 
Introduce the up threshold: 473 
 
Vibration OFF
Vibration ON
Trial 1 started
time, up, down, lbl_up, lbl_down
0.0000, 479, 648, 0, 0
0.0100, 479, 648, 0, 0
0.0350, 479, 648, 0, 0
0.0600, 479, 647, 0, 0
0.0850, 480, 647, 0, 0
0.1100, 479, 648, 0, 0
0.1350, 480, 648, 0, 0
0.1600, 480, 648, 0, 0
0.1850, 480, 647, 0, 0
0.2090, 480, 647, 0, 0
0.2350, 480, 647, 0, 0
0.2590, 479, 647, 0, 0
0.2850, 480, 647, 0, 0
0.3100, 480, 648, 0, 0
0.3340, 479, 647, 0, 0
0.3600, 479, 647, 0, 0
0.3840, 480, 647, 0, 0
0.4090, 480, 647, 0, 0
0.4350, 479, 648, 0, 0
0.4590, 479, 648, 0, 0
0.4850, 479, 648, 0, 0
0.5090, 480, 647, 0, 0
0.5340, 479, 647, 0, 0
0.5590, 479, 647, 0, 0
0.5840, 479, 647, 0, 0
0.6090, 479, 647, 0, 0
0.6340, 480, 647, 0, 0
0.6590, 480, 648, 0, 0
0.6840, 479, 647, 0, 0
0.7090, 479, 647, 0, 0
0.7340, 479, 648, 0, 0
0.7590, 479, 648, 0, 0
0.7840, 480, 647, 0, 0
0.8080, 480, 648, 0, 0
0.8340, 480, 648, 0, 0
0.8580, 479, 648, 0, 0
0.8840, 479, 648, 0, 0
0.9090, 480, 648, 0, 0
0.9330, 480, 648, 0, 0
0.9590, 480, 648, 0, 0
0.9830, 480, 648, 0, 0
1.0080, 480, 648, 0, 0
1.0340, 480, 648, 0, 0
1.0580, 480, 648, 0, 0
1.0840, 480, 647, 0, 0
1.1080, 480, 648, 0, 0
1.1330, 480, 647, 0, 0
1.1590, 482, 647, 0, 0
1.1830, 484, 647, 0, 0
1.2080, 484, 647, 0, 0
1.2330, 485, 647, 0, 0
1.2580, 485, 646, 0, 0
1.2830, 485, 646, 0, 0
1.3080, 485, 645, 0, 0
1.3330, 486, 644, 0, 0
1.3580, 487, 644, 0, 0
1.3830, 488, 644, 0, 0
1.4070, 488, 643, 0, 0
1.4330, 489, 643, 0, 0
1.4580, 488, 643, 0, 0
1.4830, 488, 643, 0, 0
1.5080, 487, 643, 0, 0
1.5320, 487, 644, 0, 0
1.5580, 486, 644, 0, 0
1.5820, 487, 644, 0, 0
1.6070, 488, 643, 0, 0
1.6330, 487, 642, 0, 0
1.6570, 487, 641, 0, 0
1.6830, 485, 642, 0, 0
1.7070, 483, 642, 0, 0
1.7320, 480, 642, 0, 0
1.7580, 479, 642, 0, 0
1.7820, 479, 643, 0, 0
1.8070, 480, 643, 0, 0
1.8320, 480, 643, 0, 0
1.8570, 478, 642, 0, 0
1.8820, 475, 643, 0, 0
1.9070, 471, 644, 1, 0
1.9320, 469, 645, 1, 0
1.9570, 470, 624, 1, 0
1.9820, 470, 628, 1, 0
2.0060, 470, 644, 1, 0
2.0320, 469, 645, 1, 0
2.0570, 468, 630, 1, 0
2.0820, 469, 626, 1, 0
2.1070, 470, 645, 1, 0
2.1310, 471, 646, 1, 0
2.1570, 472, 628, 1, 0
2.1810, 473, 626, 0, 0
2.2060, 472, 646, 1, 0
2.2320, 473, 646, 0, 0
2.2560, 473, 646, 0, 0
2.2820, 473, 648, 0, 0
2.3060, 473, 645, 0, 0
2.3310, 474, 645, 0, 0
2.3570, 475, 645, 0, 0
2.3810, 476, 644, 0, 0
2.4060, 478, 643, 0, 0
2.4310, 479, 643, 0, 0
2.4560, 481, 642, 0, 0
2.4820, 482, 642, 0, 0
2.5060, 483, 641, 0, 0
2.5310, 484, 640, 0, 0
2.5560, 485, 640, 0, 0
2.5810, 486, 638, 0, 0
2.6050, 487, 637, 0, 0
2.6310, 489, 637, 0, 0
2.6560, 491, 635, 0, 0
2.6810, 493, 634, 0, 0
2.7060, 495, 632, 0, 0
2.7300, 496, 632, 0, 0
2.7560, 498, 631, 0, 0
2.7810, 499, 629, 0, 0
2.8050, 501, 628, 0, 0
2.8310, 503, 628, 0, 0
2.8550, 505, 627, 0, 0
2.8810, 506, 626, 0, 0
2.9050, 508, 625, 0, 0
2.9300, 509, 625, 0, 0
2.9560, 510, 625, 0, 0
2.9800, 510, 626, 0, 0
3.0050, 510, 626, 0, 0
3.0300, 512, 626, 0, 0
3.0550, 513, 624, 0, 0
3.0810, 515, 624, 0, 0
3.1050, 515, 624, 0, 0
3.1300, 515, 624, 0, 0
