=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2024.11.21 12:17:13 =~=~=~=~=~=~=~=~=~=~=~=
Vibration OFF
Vibration ON
Up threshold:   f_up_thr = 416
Down threshold:   f_down_thr = 518
Trial 1 started
time, up, down, lbl_up, lbl_down
0.0000, 472, 525, 0, 0
0.0100, 472, 525, 0, 0
0.0340, 473, 526, 0, 0
0.0590, 474, 526, 0, 0
0.0850, 474, 526, 0, 0
0.1090, 475, 526, 0, 0
0.1340, 475, 527, 0, 0
0.1590, 475, 527, 0, 0
0.1840, 476, 528, 0, 0
0.2090, 476, 528, 0, 0
0.2340, 477, 528, 0, 0
0.2590, 477, 528, 0, 0
0.2840, 477, 529, 0, 0
0.3090, 477, 529, 0, 0
0.3330, 477, 530, 0, 0
0.3590, 477, 530, 0, 0
0.3840, 477, 530, 0, 0
0.4090, 477, 530, 0, 0
0.4340, 477, 530, 0, 0
0.4580, 477, 530, 0, 0
0.4840, 477, 531, 0, 0
0.5090, 476, 531, 0, 0
0.5330, 476, 530, 0, 0
0.5590, 475, 530, 0, 0
0.5830, 475, 530, 0, 0
0.6090, 475, 529, 0, 0
0.6330, 476, 529, 0, 0
0.6580, 476, 528, 0, 0
0.6840, 475, 528, 0, 0
0.7080, 476, 528, 0, 0
0.7330, 476, 528, 0, 0
0.7580, 476, 528, 0, 0
0.7830, 476, 528, 0, 0
0.8090, 477, 528, 0, 0
0.8330, 477, 528, 0, 0
0.8580, 477, 527, 0, 0
0.8830, 477, 527, 0, 0
0.9080, 478, 527, 0, 0
0.9320, 478, 527, 0, 0
0.9580, 478, 527, 0, 0
0.9830, 479, 527, 0, 0
1.0080, 478, 527, 0, 0
1.0330, 479, 527, 0, 0
1.0570, 479, 527, 0, 0
1.0830, 479, 527, 0, 0
1.1080, 479, 528, 0, 0
1.1320, 479, 528, 0, 0
1.1580, 478, 528, 0, 0
1.1820, 478, 529, 0, 0
1.2080, 478, 529, 0, 0
1.2320, 477, 529, 0, 0
1.2570, 477, 529, 0, 0
1.2830, 477, 530, 0, 0
1.3070, 477, 530, 0, 0
1.3320, 477, 530, 0, 0
1.3570, 477, 530, 0, 0
1.3820, 477, 530, 0, 0
1.4080, 477, 530, 0, 0
1.4320, 477, 530, 0, 0
1.4570, 477, 530, 0, 0
1.4820, 476, 531, 0, 0
1.5070, 476, 531, 0, 0
1.5310, 476, 531, 0, 0
1.5570, 476, 531, 0, 0
