=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2025.04.02 10:49:03 =~=~=~=~=~=~=~=~=~=~=~=
Vibration OFF
Down threshold:   f_down_thr = 479
 
Trial 1 started
time, up, down, lbl_up, lbl_down
0.0000, 353, 517, 1, 0
0.0100, 353, 517, 1, 0
0.0360, 353, 517, 1, 0
0.0600, 353, 517, 1, 0
0.0850, 354, 518, 1, 0
0.1100, 354, 518, 1, 0
0.1350, 354, 517, 1, 0
0.1600, 354, 518, 1, 0
0.1850, 354, 518, 1, 0
0.2100, 355, 517, 1, 0
0.2350, 356, 516, 1, 0
0.2600, 356, 516, 1, 0
0.2840, 356, 516, 1, 0
0.3100, 356, 517, 1, 0
0.3350, 356, 517, 1, 0
0.3590, 356, 517, 1, 0
0.3850, 356, 517, 1, 0
0.4090, 356, 517, 1, 0
0.4350, 356, 517, 1, 0
0.4600, 357, 517, 1, 0
0.4840, 357, 517, 1, 0
0.5100, 357, 516, 1, 0
0.5340, 358, 514, 1, 0
0.5590, 358, 515, 1, 0
0.5850, 358, 515, 1, 0
0.6090, 357, 516, 1, 0
0.6350, 356, 517, 1, 0
0.6590, 357, 517, 1, 0
0.6840, 357, 517, 1, 0
0.7090, 357, 517, 1, 0
0.7340, 358, 516, 1, 0
0.7590, 358, 515, 1, 0
0.7840, 359, 514, 1, 0
0.8090, 360, 513, 1, 0
0.8340, 359, 514, 1, 0
0.8590, 359, 517, 1, 0
0.8840, 358, 518, 1, 0
0.9090, 357, 520, 1, 0
0.9340, 357, 521, 1, 0
0.9580, 357, 522, 1, 0
0.9840, 357, 523, 1, 0
1.0080, 357, 523, 1, 0
1.0340, 356, 525, 1, 0
1.0590, 354, 526, 1, 0
1.0830, 353, 527, 1, 0
1.1090, 352, 528, 1, 0
1.1330, 351, 529, 1, 0
1.1580, 350, 530, 1, 0
1.1840, 349, 532, 1, 0
1.2080, 349, 533, 1, 0
1.2340, 351, 533, 1, 0
1.2580, 353, 532, 1, 0
1.2830, 354, 531, 1, 0
1.3080, 355, 530, 1, 0
1.3330, 356, 528, 1, 0
1.3580, 358, 526, 1, 0
1.3830, 360, 524, 1, 0
1.4080, 361, 523, 1, 0
1.4330, 362, 522, 1, 0
1.4580, 364, 522, 1, 0
1.4830, 366, 521, 1, 0
1.5080, 367, 520, 1, 0
1.5330, 368, 518, 1, 0
1.5570, 369, 516, 1, 0
1.5830, 369, 513, 1, 0
1.6070, 370, 511, 1, 0
1.6330, 370, 509, 1, 0
1.6580, 370, 509, 1, 0
1.6820, 370, 510, 1, 0
1.7080, 369, 509, 1, 0
1.7320, 370, 508, 1, 0
1.7570, 371, 507, 1, 0
1.7830, 373, 504, 1, 0
1.8070, 375, 499, 1, 0
1.8330, 378, 495, 1, 0
1.8570, 380, 493, 1, 0
1.8820, 381, 495, 1, 0
1.9080, 381, 499, 1, 0
1.9320, 380, 502, 1, 0
1.9570, 378, 503, 1, 0
1.9820, 378, 504, 1, 0
2.0070, 378, 504, 1, 0
2.0320, 378, 503, 1, 0
2.0570, 379, 504, 1, 0
2.0820, 378, 504, 1, 0
2.1070, 377, 505, 1, 0
2.1320, 376, 506, 1, 0
2.1560, 375, 507, 1, 0
2.1820, 375, 508, 1, 0
2.2070, 374, 508, 1, 0
2.2320, 374, 509, 1, 0
2.2570, 373, 509, 1, 0
2.2810, 372, 508, 1, 0
2.3070, 372, 507, 1, 0
2.3310, 370, 508, 1, 0
2.3560, 366, 508, 1, 0
2.3820, 363, 509, 1, 0
2.4060, 363, 511, 1, 0
2.4320, 362, 511, 1, 0
2.4560, 364, 511, 1, 0
2.4810, 365, 512, 1, 0
2.5070, 364, 513, 1, 0
2.5310, 364, 513, 1, 0
2.5560, 364, 514, 1, 0
2.5810, 364, 515, 1, 0
2.6060, 362, 516, 1, 0
2.6310, 360, 517, 1, 0
2.6560, 358, 518, 1, 0
2.6810, 358, 519, 1, 0
2.7060, 360, 519, 1, 0
2.7310, 360, 519, 1, 0
2.7550, 360, 518, 1, 0
2.7810, 361, 517, 1, 0
2.8060, 361, 518, 1, 0
2.8310, 360, 519, 1, 0
2.8560, 360, 519, 1, 0
2.8800, 359, 520, 1, 0
2.9060, 358, 520, 1, 0
2.9300, 357, 519, 1, 0
2.9550, 357, 519, 1, 0
2.9810, 356, 520, 1, 0
3.0050, 354, 521, 1, 0
3.0310, 355, 521, 1, 0
3.0550, 355, 522, 1, 0
3.0800, 357, 522, 1, 0
3.1060, 359, 520, 1, 0
3.1300, 360, 519, 1, 0
3.1550, 360, 519, 1, 0
3.1800, 361, 519, 1, 0
3.2050, 360, 520, 1, 0
3.2310, 360, 522, 1, 0
3.2550, 360, 522, 1, 0
3.2800, 359, 523, 1, 0
3.3050, 358, 524, 1, 0
3.3300, 357, 525, 1, 0
3.3540, 356, 526, 1, 0
3.3800, 352, 527, 1, 0
3.4050, 348, 529, 1, 0
3.4300, 347, 531, 1, 0
3.4550, 348, 531, 1, 0
3.4790, 351, 531, 1, 0
3.5050, 354, 529, 1, 0
3.5300, 355, 530, 1, 0
3.5540, 355, 530, 1, 0
3.5800, 355, 531, 1, 0
3.6040, 354, 531, 1, 0
3.6300, 354, 529, 1, 0
3.6540, 355, 527, 1, 0
3.6790, 355, 524, 1, 0
3.7050, 356, 522, 1, 0
3.7290, 357, 521, 1, 0
3.7540, 358, 519, 1, 0
3.7790, 359, 516, 1, 0
3.8040, 360, 513, 1, 0
3.8300, 361, 511, 1, 0
3.8540, 362, 509, 1, 0
3.8790, 363, 508, 1, 0
3.9040, 365, 505, 1, 0
3.9290, 367, 503, 1, 0
3.9530, 368, 501, 1, 0
3.9790, 369, 500, 1, 0
4.0040, 370, 500, 1, 0
4.0290, 370, 500, 1, 0
4.0540, 372, 498, 1, 0
