=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2024.11.25 14:18:04 =~=~=~=~=~=~=~=~=~=~=~=
Up threshold:   f_up_thr = 415
Down threshold:   f_down_thr = 510
Vibration OFF
Trial 1 started
time, up, down, lbl_up, lbl_down
0.0000, 462, 545, 0, 0
0.0100, 462, 545, 0, 0
0.0350, 462, 545, 0, 0
0.0600, 462, 545, 0, 0
0.0850, 461, 545, 0, 0
0.1100, 462, 545, 0, 0
0.1350, 461, 546, 0, 0
0.1600, 462, 546, 0, 0
0.1850, 462, 546, 0, 0
0.2100, 462, 546, 0, 0
0.2340, 462, 546, 0, 0
0.2600, 462, 546, 0, 0
0.2850, 462, 546, 0, 0
0.3090, 462, 546, 0, 0
0.3350, 462, 546, 0, 0
0.3590, 463, 546, 0, 0
0.3850, 462, 546, 0, 0
0.4100, 463, 547, 0, 0
0.4340, 463, 546, 0, 0
0.4600, 463, 547, 0, 0
0.4840, 463, 547, 0, 0
0.5090, 463, 548, 0, 0
0.5340, 463, 548, 0, 0
0.5590, 463, 548, 0, 0
0.5850, 462, 549, 0, 0
0.6090, 462, 549, 0, 0
0.6340, 462, 549, 0, 0
0.6590, 460, 550, 0, 0
0.6840, 459, 550, 0, 0
0.7090, 458, 551, 0, 0
0.7340, 457, 551, 0, 0
0.7590, 457, 551, 0, 0
0.7840, 457, 551, 0, 0
0.8090, 455, 552, 0, 0
0.8330, 454, 552, 0, 0
0.8590, 452, 553, 0, 0
0.8840, 451, 554, 0, 0
0.9080, 451, 554, 0, 0
0.9340, 452, 555, 0, 0
0.9580, 453, 554, 0, 0
0.9840, 455, 554, 0, 0
1.0090, 456, 553, 0, 0
1.0330, 458, 553, 0, 0
1.0590, 460, 552, 0, 0
1.0830, 462, 550, 0, 0
1.1080, 462, 550, 0, 0
1.1340, 463, 550, 0, 0
1.1580, 463, 550, 0, 0
1.1840, 462, 550, 0, 0
1.2080, 462, 550, 0, 0
1.2330, 462, 550, 0, 0
1.2580, 462, 550, 0, 0
1.2830, 462, 550, 0, 0
1.3080, 462, 549, 0, 0
1.3330, 460, 549, 0, 0
1.3580, 459, 550, 0, 0
1.3830, 459, 549, 0, 0
1.4080, 459, 550, 0, 0
1.4330, 461, 549, 0, 0
