=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2024.12.03 13:33:12 =~=~=~=~=~=~=~=~=~=~=~=
Vibration OFF
Vibration ON
Vibration OFF
Up threshold:   f_up_thr = 480
Down threshold:   f_down_thr = 518
Trial 1 started
time, up, down, lbl_up, lbl_down
0.0000, 443, 571, 1, 0
0.0110, 441, 571, 1, 0
0.0360, 442, 571, 1, 0
0.0610, 441, 570, 1, 0
0.0850, 442, 571, 1, 0
0.1110, 441, 571, 1, 0
0.1360, 441, 572, 1, 0
0.1600, 441, 571, 1, 0
0.1860, 442, 572, 1, 0
0.2100, 441, 571, 1, 0
0.2360, 443, 572, 1, 0
0.2610, 442, 571, 1, 0
0.2850, 442, 572, 1, 0
0.3110, 442, 571, 1, 0
0.3350, 442, 572, 1, 0
0.3600, 440, 571, 1, 0
0.3850, 441, 572, 1, 0
0.4100, 439, 572, 1, 0
0.4360, 439, 573, 1, 0
0.4600, 438, 572, 1, 0
0.4850, 439, 572, 1, 0
0.5100, 439, 572, 1, 0
0.5350, 440, 573, 1, 0
0.5600, 440, 572, 1, 0
0.5850, 441, 572, 1, 0
0.6100, 442, 571, 1, 0
0.6350, 443, 570, 1, 0
0.6600, 444, 568, 1, 0
0.6850, 445, 566, 1, 0
0.7100, 445, 565, 1, 0
0.7350, 446, 564, 1, 0
0.7590, 446, 563, 1, 0
0.7850, 447, 563, 1, 0
0.8090, 445, 562, 1, 0
0.8350, 449, 562, 1, 0
0.8600, 452, 560, 1, 0
0.8840, 450, 563, 1, 0
0.9100, 452, 562, 1, 0
0.9340, 451, 561, 1, 0
0.9590, 452, 562, 1, 0
0.9850, 453, 559, 1, 0
1.0090, 453, 559, 1, 0
1.0350, 455, 557, 1, 0
1.0590, 457, 555, 1, 0
1.0840, 457, 557, 1, 0
1.1090, 457, 557, 1, 0
1.1340, 459, 558, 1, 0
1.1590, 458, 558, 1, 0
1.1840, 459, 558, 1, 0
1.2090, 458, 558, 1, 0
1.2340, 459, 558, 1, 0
1.2590, 460, 557, 1, 0
1.2840, 461, 557, 1, 0
1.3090, 462, 557, 1, 0
1.3340, 463, 558, 1, 0
1.3580, 462, 557, 1, 0
1.3840, 464, 557, 1, 0
1.4080, 465, 557, 1, 0
1.4340, 466, 558, 1, 0
1.4590, 466, 559, 1, 0
1.4830, 467, 559, 1, 0
1.5090, 471, 557, 1, 0
1.5330, 467, 559, 1, 0
1.5580, 467, 556, 1, 0
1.5840, 466, 557, 1, 0
1.6080, 466, 560, 1, 0
1.6340, 466, 559, 1, 0
1.6580, 465, 556, 1, 0
1.6830, 468, 559, 1, 0
1.7090, 468, 559, 1, 0
1.7330, 469, 559, 1, 0
1.7580, 469, 559, 1, 0
1.7830, 469, 559, 1, 0
1.8080, 469, 559, 1, 0
1.8330, 470, 559, 1, 0
1.8580, 471, 559, 1, 0
1.8830, 469, 557, 1, 0
1.9080, 470, 557, 1, 0
1.9330, 470, 557, 1, 0
1.9570, 471, 557, 1, 0
1.9830, 471, 558, 1, 0
2.0080, 472, 558, 1, 0
2.0330, 471, 559, 1, 0
2.0580, 471, 559, 1, 0
2.0820, 468, 558, 1, 0
2.1080, 469, 555, 1, 0
2.1320, 467, 557, 1, 0
2.1570, 468, 556, 1, 0
2.1830, 469, 558, 1, 0
2.2070, 471, 558, 1, 0
2.2330, 470, 559, 1, 0
2.2570, 471, 560, 1, 0
2.2820, 472, 560, 1, 0
2.3080, 474, 561, 1, 0
2.3320, 471, 561, 1, 0
2.3570, 470, 560, 1, 0
2.3820, 465, 560, 1, 0
2.4070, 472, 560, 1, 0
2.4320, 464, 561, 1, 0
2.4570, 468, 560, 1, 0
2.4820, 468, 556, 1, 0
2.5070, 469, 571, 1, 0
2.5320, 469, 561, 1, 0
2.5560, 469, 562, 1, 0
2.5820, 470, 561, 1, 0
2.6070, 469, 561, 1, 0
2.6320, 471, 562, 1, 0
2.6570, 470, 562, 1, 0
2.6810, 467, 561, 1, 0
2.7070, 471, 561, 1, 0
2.7310, 472, 564, 1, 0
2.7560, 471, 562, 1, 0
2.7820, 471, 565, 1, 0
2.8060, 469, 563, 1, 0
2.8320, 468, 564, 1, 0
2.8560, 469, 564, 1, 0
2.8810, 468, 564, 1, 0
2.9070, 469, 564, 1, 0
2.9310, 468, 565, 1, 0
2.9560, 467, 564, 1, 0
2.9810, 466, 565, 1, 0
3.0060, 466, 566, 1, 0
3.0320, 466, 566, 1, 0
3.0560, 466, 566, 1, 0
3.0810, 466, 567, 1, 0
3.1060, 465, 568, 1, 0
3.1310, 467, 567, 1, 0
3.1550, 466, 568, 1, 0
3.1810, 467, 567, 1, 0
3.2060, 467, 568, 1, 0
3.2310, 465, 568, 1, 0
3.2560, 468, 568, 1, 0
3.2800, 467, 569, 1, 0
3.3060, 468, 568, 1, 0
3.3310, 468, 567, 1, 0
3.3550, 470, 567, 1, 0
3.3810, 469, 565, 1, 0
3.4050, 471, 566, 1, 0
3.4310, 470, 565, 1, 0
3.4550, 471, 565, 1, 0
3.4800, 472, 564, 1, 0
3.5060, 473, 563, 1, 0
3.5300, 473, 564, 1, 0
3.5550, 474, 564, 1, 0
3.5800, 475, 564, 1, 0
3.6050, 475, 564, 1, 0
3.6310, 477, 565, 1, 0
3.6550, 478, 565, 1, 0
3.6800, 480, 566, 0, 0
3.7050, 479, 565, 1, 0
3.7300, 480, 565, 0, 0
3.7540, 480, 565, 0, 0
3.7800, 480, 566, 0, 0
3.8050, 481, 566, 0, 0
3.8300, 482, 564, 0, 0
3.8550, 482, 564, 0, 0
3.8790, 482, 564, 0, 0
3.9050, 483, 565, 0, 0
3.9300, 484, 566, 0, 0
3.9540, 486, 566, 0, 0
3.9800, 484, 566, 0, 0
4.0040, 486, 566, 0, 0
4.0300, 484, 566, 0, 0
4.0540, 485, 569, 0, 0
4.0790, 486, 570, 0, 0
4.1050, 486, 571, 0, 0
4.1290, 485, 571, 0, 0
4.1540, 485, 572, 0, 0
4.1790, 485, 571, 0, 0
4.2040, 487, 572, 0, 0
4.2300, 485, 569, 0, 0
4.2540, 486, 572, 0, 0
4.2790, 484, 570, 0, 0
4.3040, 484, 571, 0, 0
4.3290, 483, 569, 0, 0
4.3530, 485, 570, 0, 0
4.3790, 482, 569, 0, 0
4.4040, 481, 568, 0, 0
4.4290, 481, 568, 0, 0
4.4540, 479, 568, 1, 0
4.4780, 479, 566, 1, 0
4.5040, 480, 565, 0, 0
4.5290, 478, 566, 1, 0
4.5530, 478, 568, 1, 0
4.5790, 479, 567, 1, 0
4.6030, 480, 568, 0, 0
4.6290, 479, 566, 1, 0
4.6540, 479, 567, 1, 0
4.6780, 476, 567, 1, 0
4.7040, 475, 567, 1, 0
4.7280, 473, 568, 1, 0
4.7530, 473, 568, 1, 0
4.7780, 474, 569, 1, 0
4.8030, 475, 570, 1, 0
4.8290, 474, 570, 1, 0
4.8530, 476, 570, 1, 0
4.8780, 476, 570, 1, 0
4.9030, 476, 571, 1, 0
4.9280, 477, 569, 1, 0
4.9530, 477, 570, 1, 0
