=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2025.03.28 16:59:23 =~=~=~=~=~=~=~=~=~=~=~=

Vibration OFF
Down threshold:   f_down_thr = 500
Up threshold:   f_up_thr = 371
Down threshold:   f_down_thr = 451
Up threshold:   f_up_thr = 370
 
Up threshold:   f_up_thr = 371
Trial 2 started
time, up, down, lbl_up, lbl_down
0.0000, 383, 483, 0, 0
0.0100, 381, 483, 0, 0
0.0360, 381, 483, 0, 0
0.0600, 383, 482, 0, 0
0.0850, 381, 483, 0, 0
0.1100, 381, 483, 0, 0
0.1350, 382, 482, 0, 0
0.1600, 383, 483, 0, 0
0.1850, 382, 483, 0, 0
0.2100, 383, 483, 0, 0
0.2350, 381, 483, 0, 0
0.2600, 382, 483, 0, 0
0.2840, 380, 483, 0, 0
0.3100, 379, 485, 0, 0
0.3350, 378, 484, 0, 0
0.3590, 377, 486, 0, 0
0.3850, 376, 485, 0, 0
0.4090, 376, 485, 0, 0
0.4350, 375, 485, 0, 0
0.4600, 377, 486, 0, 0
0.4840, 377, 486, 0, 0
0.5100, 378, 486, 0, 0
0.5340, 378, 485, 0, 0
0.5590, 379, 485, 0, 0
0.5850, 379, 484, 0, 0
0.6090, 380, 483, 0, 0
0.6350, 381, 483, 0, 0
0.6590, 382, 485, 0, 0
0.6840, 382, 485, 0, 0
0.7090, 380, 486, 0, 0
0.7340, 378, 485, 0, 0
0.7590, 377, 486, 0, 0
0.7840, 375, 487, 0, 0
0.8090, 374, 489, 0, 0
0.8340, 373, 488, 0, 0
0.8590, 371, 489, 0, 0
0.8840, 371, 489, 0, 0
0.9090, 371, 488, 0, 0
0.9340, 372, 488, 0, 0
0.9580, 372, 490, 0, 0
0.9840, 371, 489, 0, 0
1.0080, 369, 489, 1, 0
1.0340, 368, 488, 1, 0
1.0590, 369, 489, 1, 0
1.0830, 369, 490, 1, 0
1.1090, 368, 491, 1, 0
1.1330, 367, 491, 1, 0
1.1580, 364, 490, 1, 0
1.1840, 364, 490, 1, 0
1.2080, 365, 492, 1, 0
1.2340, 364, 492, 1, 0
1.2580, 364, 493, 1, 0
1.2830, 363, 492, 1, 0
1.3080, 363, 492, 1, 0
1.3330, 364, 492, 1, 0
1.3580, 364, 494, 1, 0
1.3830, 364, 493, 1, 0
1.4080, 364, 492, 1, 0
1.4330, 368, 491, 1, 0
1.4580, 369, 492, 1, 0
1.4830, 369, 491, 1, 0
1.5080, 369, 491, 1, 0
1.5330, 368, 489, 1, 0
1.5570, 369, 489, 1, 0
1.5830, 368, 488, 1, 0
1.6080, 371, 488, 0, 0
1.6330, 373, 489, 0, 0
1.6580, 372, 490, 0, 0
1.6820, 372, 490, 0, 0
1.7080, 371, 491, 0, 0
1.7320, 370, 491, 1, 0
1.7570, 369, 490, 1, 0
1.7830, 371, 491, 0, 0
1.8070, 373, 493, 0, 0
1.8330, 373, 492, 0, 0
1.8570, 373, 491, 0, 0
1.8820, 372, 491, 0, 0
1.9080, 372, 491, 0, 0
1.9320, 372, 490, 0, 0
1.9570, 371, 488, 0, 0
1.9820, 373, 487, 0, 0
2.0070, 376, 487, 0, 0
2.0320, 374, 487, 0, 0
2.0570, 374, 486, 0, 0
2.0820, 374, 486, 0, 0
2.1070, 374, 485, 0, 0
2.1320, 375, 482, 0, 0
2.1560, 375, 483, 0, 0
2.1820, 377, 484, 0, 0
2.2070, 378, 484, 0, 0
2.2320, 378, 482, 0, 0
2.2570, 378, 480, 0, 0
2.2810, 378, 478, 0, 0
2.3070, 378, 475, 0, 0
2.3310, 382, 475, 0, 0
2.3560, 381, 475, 0, 0
2.3820, 383, 473, 0, 0
2.4060, 384, 472, 0, 0
2.4320, 386, 468, 0, 0
2.4560, 385, 467, 0, 0
2.4810, 387, 466, 0, 0
2.5070, 388, 467, 0, 0
2.5310, 389, 462, 0, 0
2.5560, 389, 464, 0, 0
2.5810, 391, 462, 0, 0
2.6060, 392, 463, 0, 0
2.6320, 394, 465, 0, 0
2.6560, 392, 462, 0, 0
2.6810, 394, 463, 0, 0
2.7060, 392, 462, 0, 0
2.7310, 393, 461, 0, 0
2.7550, 394, 464, 0, 0
2.7810, 396, 465, 0, 0
2.8060, 395, 466, 0, 0
2.8310, 395, 467, 0, 0
2.8560, 396, 466, 0, 0
2.8800, 397, 465, 0, 0
2.9060, 393, 469, 0, 0
2.9310, 397, 468, 0, 0
2.9550, 394, 467, 0, 0
2.9810, 394, 471, 0, 0
3.0050, 392, 471, 0, 0
3.0310, 395, 472, 0, 0
3.0550, 394, 473, 0, 0
3.0800, 394, 473, 0, 0
3.1060, 389, 473, 0, 0
3.1300, 391, 476, 0, 0
3.1550, 386, 474, 0, 0
3.1800, 386, 479, 0, 0
3.2050, 385, 477, 0, 0
3.2310, 386, 478, 0, 0
3.2550, 384, 480, 0, 0
3.2800, 385, 480, 0, 0
3.3050, 383, 479, 0, 0
3.3300, 386, 478, 0, 0
3.3540, 383, 480, 0, 0
3.3800, 384, 479, 0, 0
3.4050, 381, 480, 0, 0
3.4300, 381, 482, 0, 0
3.4550, 379, 482, 0, 0
3.4790, 379, 482, 0, 0
3.5050, 376, 483, 0, 0
3.5300, 378, 484, 0, 0
3.5540, 376, 484, 0, 0
3.5800, 378, 483, 0, 0
3.6040, 373, 484, 0, 0
3.6300, 374, 484, 0, 0
3.6540, 371, 484, 0, 0
3.6790, 372, 487, 0, 0
3.7050, 369, 487, 1, 0
3.7290, 370, 488, 1, 0
3.7540, 367, 489, 1, 0
3.7790, 368, 489, 1, 0
3.8040, 365, 490, 1, 0
3.8300, 368, 490, 1, 0
3.8540, 365, 490, 1, 0
3.8790, 366, 491, 1, 0
3.9040, 364, 490, 1, 0
3.9290, 365, 491, 1, 0
3.9530, 362, 491, 1, 0
3.9790, 364, 491, 1, 0
4.0040, 361, 491, 1, 0
4.0290, 364, 491, 1, 0
4.0540, 361, 491, 1, 0
4.0780, 364, 492, 1, 0
4.1040, 362, 490, 1, 0
4.1290, 366, 492, 1, 0
4.1530, 365, 493, 1, 0
4.1790, 366, 492, 1, 0
4.2030, 364, 493, 1, 0
4.2290, 366, 493, 1, 0
4.2540, 364, 493, 1, 0
4.2780, 368, 493, 1, 0
4.3040, 365, 493, 1, 0
4.3280, 367, 494, 1, 0
4.3530, 365, 493, 1, 0
4.3780, 368, 493, 1, 0
4.4030, 367, 494, 1, 0
4.4290, 369, 493, 1, 0
4.4530, 367, 493, 1, 0
4.4780, 370, 493, 1, 0
4.5030, 369, 492, 1, 0
4.5280, 372, 492, 0, 0
4.5530, 368, 492, 1, 0
4.5780, 375, 491, 0, 0
4.6030, 372, 490, 0, 0
4.6280, 375, 489, 0, 0
4.6530, 374, 487, 0, 0
4.6770, 376, 486, 0, 0
4.7030, 377, 486, 0, 0
4.7280, 382, 485, 0, 0
4.7520, 376, 480, 0, 0
4.7780, 381, 479, 0, 0
4.8020, 378, 478, 0, 0
4.8280, 380, 475, 0, 0
4.8530, 383, 475, 0, 0
4.8770, 386, 474, 0, 0
4.9030, 386, 472, 0, 0
4.9270, 390, 472, 0, 0
4.9520, 387, 471, 0, 0
4.9770, 390, 471, 0, 0
5.0020, 387, 469, 0, 0
5.0280, 392, 470, 0, 0
5.0520, 388, 471, 0, 0
5.0770, 389, 470, 0, 0
5.1020, 391, 470, 0, 0
5.1270, 392, 472, 0, 0
5.1520, 393, 473, 0, 0
5.1770, 395, 475, 0, 0
5.2020, 393, 477, 0, 0
5.2270, 394, 479, 0, 0
5.2520, 395, 477, 0, 0
5.2760, 393, 478, 0, 0
5.3020, 392, 478, 0, 0
5.3270, 395, 479, 0, 0
5.3510, 392, 481, 0, 0
5.3770, 390, 482, 0, 0
5.4010, 389, 484, 0, 0
5.4270, 387, 484, 0, 0
5.4520, 385, 482, 0, 0
5.4760, 387, 482, 0, 0
5.5020, 382, 482, 0, 0
5.5260, 386, 483, 0, 0
5.5510, 381, 482, 0, 0
5.5770, 380, 482, 0, 0
5.6010, 377, 483, 0, 0
5.6270, 380, 485, 0, 0
5.6510, 378, 486, 0, 0
5.6760, 379, 488, 0, 0
5.7010, 374, 486, 0, 0
5.7260, 374, 487, 0, 0
5.7510, 376, 488, 0, 0
5.7760, 376, 485, 0, 0
5.8010, 375, 489, 0, 0
5.8260, 376, 490, 0, 0
5.8510, 374, 489, 0, 0
5.8760, 378, 489, 0, 0
5.9010, 374, 487, 0, 0
5.9260, 377, 488, 0, 0
5.9500, 377, 487, 0, 0
5.9760, 379, 488, 0, 0
6.0000, 374, 487, 0, 0
6.0260, 377, 490, 0, 0
6.0510, 375, 490, 0, 0
6.0750, 372, 489, 0, 0
6.1010, 373, 491, 0, 0
6.1250, 373, 490, 0, 0
6.1500, 372, 492, 0, 0
6.1760, 373, 492, 0, 0
6.2000, 373, 490, 0, 0
6.2260, 370, 490, 1, 0
6.2500, 372, 491, 0, 0
6.2750, 371, 492, 0, 0
6.3000, 372, 492, 0, 0
6.3250, 373, 492, 0, 0
6.3500, 370, 492, 1, 0
6.3750, 371, 492, 0, 0
6.4000, 369, 492, 1, 0
6.4250, 368, 491, 1, 0
6.4500, 369, 492, 1, 0
6.4750, 369, 491, 1, 0
6.5000, 368, 493, 1, 0
6.5250, 371, 495, 0, 0
6.5490, 366, 494, 1, 0
6.5750, 367, 493, 1, 0
6.6000, 368, 496, 1, 0
6.6250, 370, 494, 1, 0
6.6500, 367, 494, 1, 0
6.6740, 369, 497, 1, 0
6.7000, 369, 494, 1, 0
6.7240, 368, 495, 1, 0
6.7490, 371, 495, 0, 0
6.7750, 373, 493, 0, 0
6.7990, 374, 493, 0, 0
6.8250, 374, 489, 0, 0
6.8490, 374, 490, 0, 0
6.8740, 378, 490, 0, 0
6.9000, 377, 488, 0, 0
6.9240, 379, 486, 0, 0
6.9490, 376, 484, 0, 0
6.9740, 382, 482, 0, 0
6.9990, 379, 481, 0, 0
7.0240, 384, 480, 0, 0
7.0490, 382, 476, 0, 0
7.0740, 385, 478, 0, 0
7.0990, 383, 473, 0, 0
7.1240, 387, 476, 0, 0
7.1480, 385, 471, 0, 0
7.1740, 388, 472, 0, 0
7.1990, 387, 470, 0, 0
7.2240, 392, 470, 0, 0
7.2490, 390, 469, 0, 0
7.2730, 395, 469, 0, 0
7.2990, 391, 467, 0, 0
7.3230, 395, 468, 0, 0
7.3480, 394, 468, 0, 0
7.3740, 396, 470, 0, 0
7.3980, 395, 470, 0, 0
7.4240, 397, 472, 0, 0
7.4480, 396, 473, 0, 0
7.4730, 397, 475, 0, 0
7.4990, 395, 474, 0, 0
7.5230, 397, 477, 0, 0
7.5480, 395, 477, 0, 0
7.5730, 396, 479, 0, 0
7.5980, 392, 480, 0, 0
7.6240, 394, 481, 0, 0
7.6480, 390, 481, 0, 0
7.6730, 390, 483, 0, 0
7.6980, 387, 482, 0, 0
7.7230, 386, 482, 0, 0
7.7470, 383, 482, 0, 0
7.7730, 386, 482, 0, 0
7.7980, 380, 482, 0, 0
7.8230, 382, 483, 0, 0
