=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2025.03.31 11:07:02 =~=~=~=~=~=~=~=~=~=~=~=
Vibration OFF
Down threshold:   f_down_thr = 502
Up threshold:   f_up_thr = 377
Down threshold:   f_down_thr = 501
Down threshold:   f_down_thr = 493
Trial 1 started
time, up, down, lbl_up, lbl_down
0.0000, 378, 506, 0, 0
0.0100, 379, 506, 0, 0
0.0350, 378, 506, 0, 0
0.0600, 378, 506, 0, 0
0.0850, 379, 506, 0, 0
0.1100, 378, 507, 0, 0
0.1340, 378, 507, 0, 0
0.1600, 379, 507, 0, 0
0.1840, 378, 507, 0, 0
0.2100, 378, 507, 0, 0
0.2350, 378, 508, 0, 0
0.2590, 378, 509, 0, 0
0.2850, 378, 509, 0, 0
0.3090, 377, 510, 0, 0
0.3340, 377, 509, 0, 0
0.3600, 377, 510, 0, 0
0.3840, 375, 510, 1, 0
0.4100, 375, 510, 1, 0
0.4340, 374, 510, 1, 0
0.4590, 375, 511, 1, 0
0.4840, 374, 511, 1, 0
0.5090, 374, 511, 1, 0
0.5340, 372, 510, 1, 0
0.5590, 373, 510, 1, 0
0.5840, 372, 512, 1, 0
0.6090, 371, 511, 1, 0
0.6340, 369, 512, 1, 0
0.6590, 367, 511, 1, 0
0.6840, 366, 512, 1, 0
0.7090, 365, 512, 1, 0
0.7330, 363, 512, 1, 0
0.7590, 361, 512, 1, 0
0.7830, 359, 512, 1, 0
0.8090, 359, 512, 1, 0
0.8340, 358, 512, 1, 0
0.8580, 357, 511, 1, 0
0.8840, 356, 511, 1, 0
0.9080, 356, 512, 1, 0
0.9330, 357, 511, 1, 0
0.9590, 357, 513, 1, 0
0.9830, 358, 512, 1, 0
1.0090, 359, 512, 1, 0
1.0330, 357, 512, 1, 0
1.0580, 358, 513, 1, 0
1.0840, 359, 513, 1, 0
1.1080, 359, 513, 1, 0
1.1330, 358, 515, 1, 0
1.1580, 359, 515, 1, 0
1.1830, 360, 515, 1, 0
1.2080, 360, 515, 1, 0
1.2330, 361, 515, 1, 0
1.2580, 361, 516, 1, 0
1.2830, 363, 515, 1, 0
1.3080, 364, 515, 1, 0
1.3320, 365, 515, 1, 0
1.3580, 365, 516, 1, 0
1.3830, 365, 516, 1, 0
1.4080, 366, 516, 1, 0
1.4330, 366, 516, 1, 0
1.4570, 366, 516, 1, 0
1.4830, 366, 516, 1, 0
1.5070, 366, 516, 1, 0
1.5320, 366, 516, 1, 0
1.5580, 367, 515, 1, 0
1.5820, 366, 515, 1, 0
1.6080, 367, 514, 1, 0
1.6320, 368, 512, 1, 0
1.6570, 369, 511, 1, 0
1.6830, 369, 509, 1, 0
1.7070, 370, 507, 1, 0
1.7320, 371, 503, 1, 0
1.7570, 373, 501, 1, 0
1.7820, 373, 499, 1, 0
1.8070, 375, 497, 1, 0
1.8320, 376, 495, 1, 0
1.8570, 377, 492, 0, 1
1.8820, 379, 490, 0, 1
1.9070, 381, 488, 0, 1
1.9310, 382, 486, 0, 1
1.9570, 385, 484, 0, 1
1.9820, 386, 483, 0, 1
2.0070, 388, 482, 0, 1
2.0320, 390, 482, 0, 1
2.0560, 393, 481, 0, 1
2.0820, 395, 481, 0, 1
2.1060, 397, 481, 0, 1
2.1310, 400, 481, 0, 1
2.1570, 402, 481, 0, 1
2.1810, 404, 481, 0, 1
2.2070, 406, 482, 0, 1
2.2310, 408, 482, 0, 1
2.2560, 410, 483, 0, 1
2.2820, 411, 484, 0, 1
2.3060, 411, 486, 0, 1
2.3310, 411, 488, 0, 1
2.3560, 412, 490, 0, 1
2.3810, 413, 492, 0, 1
2.4070, 413, 494, 0, 0
2.4310, 412, 495, 0, 0
2.4560, 412, 496, 0, 0
2.4810, 412, 496, 0, 0
2.5060, 410, 497, 0, 0
2.5300, 408, 498, 0, 0
2.5560, 406, 498, 0, 0
2.5810, 402, 499, 0, 0
2.6060, 400, 500, 0, 0
2.6310, 397, 501, 0, 0
2.6550, 393, 502, 0, 0
2.6810, 391, 503, 0, 0
2.7060, 386, 504, 0, 0
2.7300, 383, 505, 0, 0
2.7560, 380, 506, 0, 0
2.7800, 379, 507, 0, 0
2.8060, 377, 507, 0, 0
2.8300, 375, 508, 1, 0
2.8550, 373, 508, 1, 0
2.8810, 370, 509, 1, 0
2.9050, 370, 509, 1, 0
2.9300, 368, 509, 1, 0
2.9550, 368, 511, 1, 0
2.9800, 366, 511, 1, 0
3.0060, 366, 511, 1, 0
3.0300, 366, 510, 1, 0
3.0550, 365, 511, 1, 0
3.0800, 364, 511, 1, 0
3.1050, 362, 512, 1, 0
3.1290, 362, 511, 1, 0
3.1550, 362, 512, 1, 0
3.1800, 361, 512, 1, 0
3.2050, 360, 513, 1, 0
3.2300, 359, 513, 1, 0
3.2540, 358, 514, 1, 0
3.2800, 357, 515, 1, 0
3.3050, 358, 516, 1, 0
3.3290, 359, 516, 1, 0
3.3550, 360, 517, 1, 0
3.3790, 360, 517, 1, 0
3.4050, 360, 517, 1, 0
3.4300, 360, 517, 1, 0
3.4540, 360, 518, 1, 0
3.4800, 359, 519, 1, 0
3.5040, 359, 519, 1, 0
3.5290, 359, 519, 1, 0
3.5540, 359, 519, 1, 0
3.5790, 360, 518, 1, 0
3.6050, 359, 519, 1, 0
3.6290, 359, 519, 1, 0
3.6540, 360, 518, 1, 0
3.6790, 359, 518, 1, 0
3.7040, 361, 518, 1, 0
3.7290, 360, 518, 1, 0
3.7540, 361, 517, 1, 0
3.7790, 362, 517, 1, 0
3.8040, 363, 516, 1, 0
3.8290, 364, 515, 1, 0
3.8530, 366, 513, 1, 0
3.8790, 366, 513, 1, 0
3.9040, 368, 510, 1, 0
3.9280, 369, 508, 1, 0
3.9540, 370, 507, 1, 0
3.9780, 370, 506, 1, 0
4.0040, 371, 503, 1, 0
4.0290, 373, 502, 1, 0
4.0530, 374, 500, 1, 0
4.0790, 376, 499, 1, 0
4.1030, 378, 498, 0, 0
4.1280, 379, 496, 0, 0
4.1530, 382, 495, 0, 0
4.1780, 385, 494, 0, 0
4.2040, 387, 494, 0, 0
4.2280, 389, 494, 0, 0
4.2530, 391, 494, 0, 0
4.2780, 393, 495, 0, 0
4.3030, 397, 495, 0, 0
4.3280, 398, 495, 0, 0
4.3530, 399, 496, 0, 0
4.3780, 399, 499, 0, 0
4.4030, 400, 501, 0, 0
4.4280, 400, 503, 0, 0
4.4520, 401, 504, 0, 0
4.4780, 401, 506, 0, 0
4.5030, 401, 506, 0, 0
4.5270, 402, 507, 0, 0
4.5530, 401, 508, 0, 0
4.5770, 400, 508, 0, 0
4.6030, 397, 508, 0, 0
4.6280, 395, 509, 0, 0
4.6520, 392, 511, 0, 0
4.6780, 388, 510, 0, 0
4.7020, 385, 511, 0, 0
4.7270, 383, 510, 0, 0
4.7530, 379, 512, 0, 0
4.7770, 376, 512, 1, 0
4.8030, 373, 512, 1, 0
4.8270, 372, 513, 1, 0
4.8520, 370, 512, 1, 0
4.8770, 368, 513, 1, 0
4.9020, 366, 513, 1, 0
4.9270, 364, 514, 1, 0
4.9520, 363, 513, 1, 0
4.9770, 364, 514, 1, 0
5.0020, 364, 515, 1, 0
5.0270, 363, 515, 1, 0
5.0520, 363, 515, 1, 0
5.0770, 362, 515, 1, 0
5.1020, 361, 514, 1, 0
5.1260, 361, 515, 1, 0
5.1520, 362, 515, 1, 0
5.1760, 362, 515, 1, 0
5.2020, 362, 515, 1, 0
5.2270, 362, 516, 1, 0
5.2510, 362, 516, 1, 0
5.2770, 362, 516, 1, 0
5.3010, 363, 516, 1, 0
5.3260, 363, 517, 1, 0
5.3520, 362, 517, 1, 0
5.3760, 363, 517, 1, 0
5.4020, 362, 517, 1, 0
5.4260, 361, 518, 1, 0
5.4510, 360, 519, 1, 0
5.4760, 360, 519, 1, 0
5.5010, 360, 518, 1, 0
5.5260, 360, 520, 1, 0
5.5510, 360, 520, 1, 0
5.5760, 360, 520, 1, 0
5.6010, 360, 521, 1, 0
5.6260, 360, 521, 1, 0
5.6510, 361, 521, 1, 0
5.6760, 362, 520, 1, 0
5.7010, 362, 520, 1, 0
5.7250, 361, 521, 1, 0
5.7510, 362, 520, 1, 0
5.7750, 363, 520, 1, 0
5.8010, 363, 519, 1, 0
5.8260, 363, 518, 1, 0
5.8500, 363, 518, 1, 0
5.8760, 363, 517, 1, 0
5.9000, 365, 516, 1, 0
5.9250, 366, 515, 1, 0
5.9510, 367, 515, 1, 0
5.9750, 367, 513, 1, 0
6.0010, 368, 513, 1, 0
6.0250, 369, 511, 1, 0
6.0500, 369, 508, 1, 0
6.0760, 370, 507, 1, 0
6.1000, 371, 505, 1, 0
6.1250, 372, 502, 1, 0
6.1500, 373, 501, 1, 0
6.1750, 375, 500, 1, 0
6.2000, 376, 499, 1, 0
6.2250, 379, 499, 0, 0
6.2500, 380, 499, 0, 0
6.2750, 382, 498, 0, 0
6.3000, 384, 498, 0, 0
6.3240, 386, 499, 0, 0
6.3500, 388, 500, 0, 0
6.3750, 390, 499, 0, 0
6.4000, 392, 499, 0, 0
6.4250, 393, 500, 0, 0
6.4490, 394, 502, 0, 0
6.4750, 395, 503, 0, 0
6.4990, 396, 504, 0, 0
6.5240, 397, 503, 0, 0
6.5500, 397, 504, 0, 0
6.5740, 398, 503, 0, 0
6.6000, 398, 503, 0, 0
6.6240, 398, 504, 0, 0
6.6490, 397, 503, 0, 0
6.6750, 395, 503, 0, 0
6.6990, 391, 504, 0, 0
6.7240, 388, 505, 0, 0
6.7490, 385, 505, 0, 0
6.7740, 380, 507, 0, 0
6.7990, 377, 509, 0, 0
6.8240, 375, 510, 1, 0
6.8490, 370, 511, 1, 0
6.8740, 368, 512, 1, 0
6.8990, 367, 512, 1, 0
6.9230, 364, 512, 1, 0
6.9490, 365, 513, 1, 0
6.9740, 366, 513, 1, 0
6.9990, 365, 514, 1, 0
7.0240, 364, 514, 1, 0
7.0480, 364, 515, 1, 0
7.0740, 364, 515, 1, 0
7.0980, 364, 515, 1, 0
7.1230, 364, 515, 1, 0
7.1490, 364, 515, 1, 0
7.1730, 364, 515, 1, 0
7.1990, 364, 515, 1, 0
7.2230, 364, 516, 1, 0
7.2480, 364, 515, 1, 0
7.2740, 364, 516, 1, 0
7.2980, 365, 515, 1, 0
7.3230, 365, 515, 1, 0
7.3480, 365, 515, 1, 0
7.3730, 365, 515, 1, 0
7.3990, 365, 515, 1, 0
7.4230, 366, 516, 1, 0
7.4480, 366, 515, 1, 0
7.4730, 366, 515, 1, 0
7.4980, 367, 515, 1, 0
7.5220, 366, 516, 1, 0
7.5480, 365, 516, 1, 0
7.5730, 365, 516, 1, 0
7.5980, 364, 517, 1, 0
7.6230, 365, 517, 1, 0
7.6470, 364, 517, 1, 0
7.6730, 364, 517, 1, 0
7.6980, 364, 518, 1, 0
7.7220, 363, 518, 1, 0
7.7480, 363, 518, 1, 0
7.7720, 363, 518, 1, 0
7.7980, 363, 518, 1, 0
7.8220, 363, 517, 1, 0
7.8470, 362, 518, 1, 0
7.8730, 361, 518, 1, 0
7.8970, 362, 517, 1, 0
7.9220, 362, 518, 1, 0
7.9470, 362, 517, 1, 0
7.9720, 363, 517, 1, 0
7.9980, 363, 517, 1, 0
8.0220, 364, 516, 1, 0
8.0470, 366, 514, 1, 0
8.0720, 365, 514, 1, 0
8.0970, 367, 512, 1, 0
8.1210, 368, 511, 1, 0
8.1470, 369, 509, 1, 0
8.1720, 371, 508, 1, 0
8.1970, 372, 507, 1, 0
8.2220, 372, 504, 1, 0
8.2460, 373, 503, 1, 0
8.2720, 376, 501, 1, 0
8.2970, 378, 500, 0, 0
8.3210, 379, 499, 0, 0
8.3470, 382, 498, 0, 0
8.3710, 383, 498, 0, 0
8.3970, 386, 499, 0, 0
8.4220, 388, 499, 0, 0
8.4460, 389, 499, 0, 0
8.4720, 390, 502, 0, 0
8.4960, 391, 504, 0, 0
8.5210, 392, 505, 0, 0
8.5460, 393, 506, 0, 0
8.5710, 394, 507, 0, 0
8.5970, 396, 507, 0, 0
8.6210, 396, 506, 0, 0
8.6460, 396, 507, 0, 0
8.6710, 397, 506, 0, 0
8.6960, 396, 506, 0, 0
8.7210, 395, 505, 0, 0
8.7460, 392, 506, 0, 0
8.7710, 389, 507, 0, 0
8.7960, 386, 507, 0, 0
8.8210, 381, 508, 0, 0
8.8450, 377, 509, 0, 0
8.8710, 373, 509, 1, 0
8.8960, 369, 510, 1, 0
8.9200, 368, 511, 1, 0
8.9460, 363, 512, 1, 0
8.9700, 362, 513, 1, 0
8.9960, 360, 513, 1, 0
9.0210, 359, 513, 1, 0
9.0450, 358, 514, 1, 0
9.0710, 357, 514, 1, 0
9.0950, 357, 514, 1, 0
9.1200, 358, 515, 1, 0
9.1450, 358, 515, 1, 0
9.1700, 358, 516, 1, 0
9.1960, 358, 515, 1, 0
9.2200, 358, 515, 1, 0
9.2450, 359, 515, 1, 0
9.2700, 359, 515, 1, 0
9.2950, 360, 516, 1, 0
9.3200, 360, 516, 1, 0
9.3450, 359, 516, 1, 0
9.3700, 359, 517, 1, 0
9.3950, 357, 517, 1, 0
9.4200, 359, 517, 1, 0
9.4440, 359, 517, 1, 0
9.4700, 359, 517, 1, 0
9.4950, 358, 518, 1, 0
9.5190, 358, 518, 1, 0
9.5450, 358, 519, 1, 0
9.5690, 358, 519, 1, 0
9.5950, 358, 519, 1, 0
9.6200, 358, 519, 1, 0
9.6440, 358, 519, 1, 0
9.6700, 358, 520, 1, 0
9.6940, 358, 519, 1, 0
9.7190, 358, 519, 1, 0
9.7450, 358, 519, 1, 0
9.7690, 358, 519, 1, 0
9.7950, 358, 519, 1, 0
9.8190, 357, 519, 1, 0
9.8440, 359, 518, 1, 0
9.8690, 358, 518, 1, 0
9.8940, 359, 518, 1, 0
9.9190, 359, 517, 1, 0
9.9440, 361, 517, 1, 0
9.9690, 361, 517, 1, 0
9.9940, 362, 516, 1, 0
10.0190, 363, 516, 1, 0
10.0450, 363, 515, 1, 0
10.0710, 364, 514, 1, 0
10.0970, 365, 512, 1, 0
10.1230, 367, 509, 1, 0
10.1490, 368, 508, 1, 0
10.1750, 368, 507, 1, 0
10.2010, 370, 503, 1, 0
10.2270, 372, 502, 1, 0
10.2520, 374, 499, 1, 0
