=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2025.04.04 17:05:53 =~=~=~=~=~=~=~=~=~=~=~=
Vibration OFF
Up threshold:   f_up_thr = 338
Down threshold:   f_down_thr = 412
Up threshold:   f_up_thr = 311
Down threshold:   f_down_thr = 472
Trial 1 started
time, up, down, lbl_up, lbl_down
0.0000, 320, 530, 0, 0
0.0090, 320, 530, 0, 0
0.0350, 320, 530, 0, 0
0.0590, 320, 530, 0, 0
0.0840, 320, 530, 0, 0
0.1100, 320, 530, 0, 0
0.1340, 320, 530, 0, 0
0.1600, 320, 530, 0, 0
0.1840, 320, 530, 0, 0
0.2090, 319, 530, 0, 0
0.2350, 320, 530, 0, 0
0.2590, 320, 530, 0, 0
0.2840, 320, 530, 0, 0
0.3090, 319, 530, 0, 0
0.3340, 318, 530, 0, 0
0.3600, 317, 530, 0, 0
0.3840, 316, 531, 0, 0
0.4090, 315, 531, 0, 0
0.4340, 315, 532, 0, 0
0.4590, 314, 532, 0, 0
0.4830, 314, 533, 0, 0
0.5090, 314, 533, 0, 0
0.5340, 314, 533, 0, 0
0.5590, 314, 533, 0, 0
0.5840, 314, 533, 0, 0
0.6080, 314, 533, 0, 0
0.6340, 314, 533, 0, 0
0.6590, 314, 533, 0, 0
0.6830, 313, 534, 0, 0
0.7090, 313, 534, 0, 0
0.7330, 313, 535, 0, 0
0.7590, 313, 535, 0, 0
0.7830, 313, 535, 0, 0
0.8080, 313, 535, 0, 0
0.8340, 313, 535, 0, 0
0.8580, 314, 533, 0, 0
0.8830, 314, 532, 0, 0
0.9080, 314, 529, 0, 0
0.9330, 314, 527, 0, 0
0.9590, 314, 526, 0, 0
0.9830, 314, 525, 0, 0
1.0080, 314, 525, 0, 0
1.0330, 315, 525, 0, 0
1.0580, 314, 523, 0, 0
1.0820, 314, 520, 0, 0
1.1080, 315, 520, 0, 0
1.1330, 315, 519, 0, 0
1.1580, 316, 518, 0, 0
1.1830, 316, 518, 0, 0
1.2070, 316, 518, 0, 0
1.2330, 316, 519, 0, 0
1.2580, 316, 520, 0, 0
1.2820, 315, 521, 0, 0
1.3080, 314, 521, 0, 0
1.3320, 314, 522, 0, 0
1.3580, 313, 523, 0, 0
1.3820, 313, 523, 0, 0
1.4070, 314, 524, 0, 0
1.4330, 313, 524, 0, 0
1.4570, 314, 524, 0, 0
1.4820, 314, 524, 0, 0
1.5070, 315, 524, 0, 0
1.5320, 316, 524, 0, 0
1.5580, 316, 524, 0, 0
1.5820, 317, 525, 0, 0
1.6070, 318, 527, 0, 0
1.6320, 318, 527, 0, 0
1.6570, 318, 527, 0, 0
1.6820, 318, 528, 0, 0
1.7070, 318, 529, 0, 0
1.7320, 318, 530, 0, 0
1.7570, 318, 530, 0, 0
1.7820, 317, 531, 0, 0
1.8060, 318, 531, 0, 0
1.8320, 317, 532, 0, 0
1.8570, 317, 533, 0, 0
1.8810, 317, 533, 0, 0
1.9070, 316, 534, 0, 0
1.9310, 316, 534, 0, 0
1.9570, 316, 535, 0, 0
1.9820, 317, 534, 0, 0
2.0060, 317, 535, 0, 0
2.0320, 317, 535, 0, 0
2.0560, 317, 535, 0, 0
2.0810, 317, 535, 0, 0
2.1060, 317, 535, 0, 0
2.1310, 317, 535, 0, 0
2.1570, 317, 536, 0, 0
2.1810, 317, 536, 0, 0
2.2060, 317, 536, 0, 0
2.2310, 317, 536, 0, 0
2.2560, 317, 536, 0, 0
2.2810, 317, 536, 0, 0
2.3060, 318, 536, 0, 0
2.3310, 318, 536, 0, 0
2.3560, 318, 536, 0, 0
2.3810, 318, 536, 0, 0
2.4050, 318, 536, 0, 0
2.4310, 317, 536, 0, 0
2.4560, 318, 536, 0, 0
2.4800, 317, 536, 0, 0
2.5060, 317, 536, 0, 0
2.5300, 317, 536, 0, 0
2.5560, 317, 536, 0, 0
2.5810, 317, 536, 0, 0
2.6050, 317, 536, 0, 0
2.6310, 317, 536, 0, 0
2.6550, 318, 537, 0, 0
2.6800, 318, 537, 0, 0
2.7060, 317, 537, 0, 0
2.7300, 317, 537, 0, 0
2.7560, 318, 537, 0, 0
2.7800, 317, 537, 0, 0
2.8050, 316, 537, 0, 0
2.8300, 314, 538, 0, 0
2.8550, 313, 539, 0, 0
2.8800, 313, 540, 0, 0
2.9050, 313, 540, 0, 0
2.9300, 312, 540, 0, 0
2.9550, 311, 541, 0, 0
2.9800, 311, 541, 0, 0
3.0050, 311, 541, 0, 0
3.0300, 310, 542, 1, 0
3.0550, 310, 542, 1, 0
3.0790, 309, 542, 1, 0
3.1050, 309, 543, 1, 0
3.1290, 309, 542, 1, 0
3.1550, 309, 543, 1, 0
3.1800, 309, 542, 1, 0
3.2040, 309, 542, 1, 0
3.2300, 310, 541, 1, 0
3.2540, 310, 539, 1, 0
3.2790, 311, 537, 0, 0
3.3050, 312, 535, 0, 0
3.3290, 313, 534, 0, 0
3.3550, 314, 534, 0, 0
3.3790, 314, 533, 0, 0
3.4040, 315, 530, 0, 0
3.4290, 315, 528, 0, 0
3.4540, 316, 528, 0, 0
3.4790, 316, 529, 0, 0
3.5040, 315, 530, 0, 0
3.5290, 313, 529, 0, 0
3.5540, 311, 528, 0, 0
3.5790, 311, 527, 0, 0
3.6040, 310, 527, 1, 0
3.6290, 310, 527, 1, 0
3.6540, 310, 526, 1, 0
3.6780, 311, 526, 0, 0
3.7040, 311, 527, 0, 0
3.7280, 312, 527, 0, 0
3.7540, 313, 527, 0, 0
3.7790, 314, 528, 0, 0
3.8030, 315, 527, 0, 0
3.8290, 315, 524, 0, 0
3.8530, 315, 522, 0, 0
3.8780, 316, 521, 0, 0
3.9040, 316, 517, 0, 0
3.9280, 316, 515, 0, 0
3.9540, 317, 516, 0, 0
3.9780, 317, 516, 0, 0
4.0030, 317, 517, 0, 0
4.0290, 317, 520, 0, 0
4.0530, 317, 522, 0, 0
4.0780, 317, 524, 0, 0
4.1030, 318, 525, 0, 0
4.1280, 317, 527, 0, 0
4.1530, 318, 528, 0, 0
4.1780, 318, 529, 0, 0
4.2030, 318, 529, 0, 0
4.2280, 318, 530, 0, 0
4.2530, 318, 530, 0, 0
4.2770, 319, 530, 0, 0
4.3030, 319, 530, 0, 0
4.3280, 319, 530, 0, 0
4.3530, 319, 531, 0, 0
4.3780, 319, 531, 0, 0
4.4020, 318, 531, 0, 0
4.4280, 319, 532, 0, 0
4.4520, 319, 532, 0, 0
4.4770, 319, 532, 0, 0
4.5030, 319, 532, 0, 0
4.5270, 319, 532, 0, 0
4.5530, 319, 532, 0, 0
4.5770, 319, 533, 0, 0
4.6020, 319, 533, 0, 0
4.6280, 319, 533, 0, 0
4.6520, 319, 533, 0, 0
4.6770, 319, 533, 0, 0
4.7020, 319, 532, 0, 0
4.7270, 319, 532, 0, 0
4.7520, 319, 532, 0, 0
4.7770, 319, 532, 0, 0
4.8020, 319, 532, 0, 0
4.8270, 319, 532, 0, 0
4.8520, 319, 532, 0, 0
4.8760, 319, 532, 0, 0
4.9020, 319, 533, 0, 0
4.9270, 318, 533, 0, 0
4.9520, 319, 533, 0, 0
4.9770, 319, 533, 0, 0
5.0010, 319, 533, 0, 0
5.0270, 319, 533, 0, 0
5.0510, 319, 534, 0, 0
5.0760, 319, 534, 0, 0
5.1020, 319, 534, 0, 0
5.1260, 318, 535, 0, 0
5.1520, 318, 536, 0, 0
5.1760, 317, 537, 0, 0
5.2010, 317, 537, 0, 0
5.2270, 317, 538, 0, 0
5.2510, 317, 538, 0, 0
5.2760, 318, 538, 0, 0
5.3010, 318, 538, 0, 0
5.3260, 318, 538, 0, 0
5.3520, 317, 538, 0, 0
5.3760, 317, 538, 0, 0
5.4010, 317, 538, 0, 0
5.4260, 316, 539, 0, 0
5.4510, 316, 539, 0, 0
5.4750, 316, 539, 0, 0
5.5010, 316, 539, 0, 0
5.5260, 316, 539, 0, 0
5.5510, 316, 537, 0, 0
5.5760, 316, 534, 0, 0
5.6000, 317, 532, 0, 0
5.6260, 318, 530, 0, 0
5.6510, 319, 529, 0, 0
5.6750, 319, 527, 0, 0
5.7010, 319, 525, 0, 0
5.7250, 319, 522, 0, 0
5.7510, 319, 520, 0, 0
5.7750, 319, 520, 0, 0
5.8000, 319, 520, 0, 0
5.8260, 318, 520, 0, 0
5.8500, 316, 521, 0, 0
5.8750, 315, 520, 0, 0
5.9000, 314, 520, 0, 0
5.9250, 314, 520, 0, 0
5.9510, 314, 520, 0, 0
5.9750, 314, 521, 0, 0
6.0000, 314, 523, 0, 0
6.0250, 314, 524, 0, 0
6.0500, 314, 525, 0, 0
6.0740, 314, 526, 0, 0
6.1000, 314, 527, 0, 0
6.1250, 314, 526, 0, 0
6.1500, 315, 527, 0, 0
6.1750, 315, 527, 0, 0
6.1990, 315, 527, 0, 0
6.2250, 316, 528, 0, 0
6.2500, 316, 529, 0, 0
6.2740, 316, 530, 0, 0
6.3000, 315, 531, 0, 0
6.3240, 314, 532, 0, 0
6.3500, 315, 534, 0, 0
6.3740, 314, 535, 0, 0
6.3990, 314, 536, 0, 0
6.4250, 314, 537, 0, 0
6.4490, 313, 538, 0, 0
6.4740, 313, 539, 0, 0
6.4990, 313, 539, 0, 0
6.5240, 314, 540, 0, 0
6.5500, 314, 540, 0, 0
6.5740, 314, 540, 0, 0
6.5990, 314, 540, 0, 0
6.6240, 314, 540, 0, 0
6.6490, 314, 540, 0, 0
6.6740, 314, 541, 0, 0
6.6990, 313, 541, 0, 0
6.7240, 312, 541, 0, 0
6.7490, 313, 541, 0, 0
6.7740, 313, 542, 0, 0
6.7980, 314, 542, 0, 0
6.8240, 314, 542, 0, 0
6.8490, 314, 542, 0, 0
6.8730, 314, 542, 0, 0
6.8990, 314, 542, 0, 0
6.9230, 313, 542, 0, 0
6.9490, 313, 542, 0, 0
6.9740, 312, 542, 0, 0
6.9980, 312, 542, 0, 0
7.0240, 312, 542, 0, 0
7.0480, 311, 542, 0, 0
7.0730, 311, 542, 0, 0
7.0980, 311, 542, 0, 0
7.1230, 311, 542, 0, 0
7.1490, 311, 543, 0, 0
7.1730, 311, 543, 0, 0
7.1980, 311, 543, 0, 0
7.2230, 311, 543, 0, 0
7.2480, 310, 543, 1, 0
7.2730, 309, 544, 1, 0
7.2980, 308, 545, 1, 0
7.3230, 308, 545, 1, 0
7.3480, 308, 546, 1, 0
7.3730, 308, 547, 1, 0
7.3970, 308, 547, 1, 0
7.4230, 309, 547, 1, 0
7.4480, 309, 547, 1, 0
7.4720, 310, 547, 1, 0
7.4980, 310, 548, 1, 0
7.5220, 310, 548, 1, 0
7.5480, 309, 548, 1, 0
7.5730, 309, 548, 1, 0
7.5970, 310, 548, 1, 0
7.6230, 310, 548, 1, 0
7.6470, 310, 547, 1, 0
7.6720, 311, 547, 0, 0
7.6980, 312, 545, 0, 0
7.7220, 312, 543, 0, 0
7.7480, 313, 539, 0, 0
7.7720, 314, 535, 0, 0
7.7970, 314, 532, 0, 0
7.8220, 315, 529, 0, 0
7.8470, 315, 527, 0, 0
7.8720, 315, 522, 0, 0
7.8970, 315, 520, 0, 0
7.9220, 315, 520, 0, 0
7.9470, 313, 521, 0, 0
7.9720, 312, 522, 0, 0
7.9970, 311, 522, 0, 0
8.0220, 311, 522, 0, 0
8.0470, 311, 522, 0, 0
8.0710, 311, 523, 0, 0
8.0970, 311, 524, 0, 0
8.1210, 312, 525, 0, 0
8.1470, 312, 526, 0, 0
8.1720, 313, 527, 0, 0
8.1960, 313, 529, 0, 0
8.2220, 312, 530, 0, 0
8.2460, 311, 530, 0, 0
8.2710, 311, 531, 0, 0
8.2970, 312, 532, 0, 0
8.3210, 311, 532, 0, 0
8.3470, 312, 533, 0, 0
8.3710, 312, 534, 0, 0
8.3960, 312, 535, 0, 0
8.4210, 311, 535, 0, 0
8.4460, 311, 537, 0, 0
8.4710, 312, 538, 0, 0
8.4960, 312, 540, 0, 0
8.5210, 312, 541, 0, 0
8.5460, 312, 543, 0, 0
8.5710, 312, 544, 0, 0
8.5960, 312, 545, 0, 0
8.6210, 313, 545, 0, 0
8.6460, 313, 545, 0, 0
8.6700, 313, 546, 0, 0
8.6960, 313, 546, 0, 0
8.7200, 314, 546, 0, 0
8.7460, 315, 546, 0, 0
8.7710, 315, 546, 0, 0
8.7950, 316, 547, 0, 0
8.8210, 317, 546, 0, 0
8.8450, 317, 546, 0, 0
8.8700, 317, 545, 0, 0
8.8960, 318, 546, 0, 0
8.9200, 318, 545, 0, 0
8.9460, 318, 545, 0, 0
8.9700, 317, 545, 0, 0
8.9950, 317, 545, 0, 0
9.0210, 317, 545, 0, 0
9.0450, 316, 545, 0, 0
9.0700, 316, 545, 0, 0
9.0950, 316, 544, 0, 0
9.1200, 316, 544, 0, 0
9.1450, 317, 544, 0, 0
9.1700, 317, 544, 0, 0
9.1950, 317, 544, 0, 0
9.2200, 317, 544, 0, 0
9.2450, 317, 544, 0, 0
9.2690, 317, 544, 0, 0
9.2950, 317, 544, 0, 0
9.3200, 317, 545, 0, 0
9.3450, 317, 545, 0, 0
9.3700, 316, 545, 0, 0
9.3940, 316, 546, 0, 0
9.4200, 315, 547, 0, 0
9.4440, 314, 547, 0, 0
9.4690, 314, 547, 0, 0
9.4950, 314, 547, 0, 0
9.5190, 314, 548, 0, 0
9.5450, 314, 548, 0, 0
9.5690, 315, 548, 0, 0
9.5940, 315, 547, 0, 0
9.6200, 314, 548, 0, 0
9.6440, 314, 548, 0, 0
9.6690, 314, 548, 0, 0
9.6940, 314, 548, 0, 0
9.7190, 313, 548, 0, 0
9.7440, 313, 548, 0, 0
9.7690, 314, 547, 0, 0
9.7940, 314, 547, 0, 0
9.8190, 314, 545, 0, 0
9.8440, 315, 543, 0, 0
9.8680, 315, 539, 0, 0
9.8940, 316, 534, 0, 0
9.9190, 316, 530, 0, 0
