=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2024.11.15 09:40:06 =~=~=~=~=~=~=~=~=~=~=~=
Vibration OFF
Down threshold:   f_down_thr = 586
Up threshold:   f_up_thr = 507
Vibration ON
Vibration OFF
Trial 3 started
time, up, down, lbl_up, lbl_down
0.0000, 508, 627, 0, 0
0.0100, 508, 628, 0, 0
0.0350, 508, 628, 0, 0
0.0610, 508, 629, 0, 0
0.0850, 508, 628, 0, 0
0.1100, 507, 629, 0, 0
0.1350, 507, 628, 0, 0
0.1600, 508, 628, 0, 0
0.1850, 507, 628, 0, 0
0.2100, 507, 628, 0, 0
0.2350, 506, 629, 1, 0
0.2600, 503, 629, 1, 0
0.2850, 501, 630, 1, 0
0.3090, 500, 629, 1, 0
0.3350, 501, 630, 1, 0
0.3600, 503, 629, 1, 0
0.3850, 504, 629, 1, 0
0.4100, 505, 629, 1, 0
0.4340, 506, 628, 1, 0
0.4600, 506, 628, 1, 0
0.4840, 506, 628, 1, 0
0.5090, 506, 628, 1, 0
0.5350, 506, 629, 1, 0
0.5590, 505, 629, 1, 0
0.5850, 504, 630, 1, 0
0.6090, 503, 629, 1, 0
0.6340, 503, 630, 1, 0
0.6600, 503, 629, 1, 0
0.6840, 503, 629, 1, 0
0.7090, 501, 630, 1, 0
0.7340, 501, 629, 1, 0
0.7590, 501, 630, 1, 0
0.7840, 501, 630, 1, 0
0.8090, 501, 630, 1, 0
0.8340, 502, 629, 1, 0
0.8590, 502, 630, 1, 0
0.8840, 502, 630, 1, 0
0.9080, 503, 630, 1, 0
0.9340, 502, 630, 1, 0
0.9590, 502, 630, 1, 0
0.9840, 502, 630, 1, 0
1.0090, 501, 630, 1, 0
1.0330, 501, 630, 1, 0
1.0590, 501, 631, 1, 0
1.0830, 500, 630, 1, 0
1.1080, 500, 630, 1, 0
1.1340, 499, 630, 1, 0
1.1580, 499, 630, 1, 0
1.1840, 501, 630, 1, 0
1.2080, 501, 630, 1, 0
1.2330, 501, 630, 1, 0
1.2590, 501, 630, 1, 0
1.2830, 502, 630, 1, 0
1.3080, 502, 630, 1, 0
1.3330, 502, 630, 1, 0
1.3580, 502, 630, 1, 0
1.3840, 503, 630, 1, 0
1.4080, 503, 630, 1, 0
1.4330, 505, 630, 1, 0
1.4580, 506, 629, 1, 0
1.4830, 508, 630, 0, 0
1.5070, 510, 629, 0, 0
1.5330, 512, 629, 0, 0
1.5580, 513, 629, 0, 0
1.5830, 514, 629, 0, 0
1.6080, 514, 629, 0, 0
1.6320, 516, 629, 0, 0
1.6580, 517, 628, 0, 0
1.6830, 519, 628, 0, 0
1.7070, 519, 628, 0, 0
1.7330, 520, 627, 0, 0
1.7570, 520, 627, 0, 0
1.7830, 520, 627, 0, 0
1.8070, 521, 627, 0, 0
1.8320, 521, 627, 0, 0
1.8580, 521, 627, 0, 0
1.8820, 521, 627, 0, 0
1.9070, 520, 628, 0, 0
1.9320, 520, 627, 0, 0
1.9570, 519, 628, 0, 0
1.9830, 518, 628, 0, 0
2.0070, 519, 628, 0, 0
2.0320, 520, 627, 0, 0
2.0570, 521, 628, 0, 0
2.0820, 521, 627, 0, 0
2.1060, 521, 628, 0, 0
2.1320, 521, 628, 0, 0
2.1570, 522, 627, 0, 0
2.1820, 523, 627, 0, 0
2.2070, 523, 627, 0, 0
2.2310, 523, 627, 0, 0
2.2570, 523, 626, 0, 0
2.2820, 524, 627, 0, 0
2.3060, 524, 627, 0, 0
2.3320, 525, 626, 0, 0
2.3560, 526, 626, 0, 0
2.3820, 527, 625, 0, 0
2.4060, 527, 626, 0, 0
2.4310, 526, 625, 0, 0
2.4570, 527, 626, 0, 0
2.4810, 527, 626, 0, 0
2.5060, 528, 625, 0, 0
2.5310, 528, 625, 0, 0
2.5560, 528, 625, 0, 0
2.5820, 527, 625, 0, 0
2.6060, 527, 626, 0, 0
2.6310, 527, 625, 0, 0
2.6560, 528, 625, 0, 0
2.6810, 528, 625, 0, 0
2.7050, 529, 625, 0, 0
2.7310, 528, 625, 0, 0
2.7560, 529, 625, 0, 0
2.7810, 529, 625, 0, 0
2.8060, 529, 624, 0, 0
2.8300, 529, 624, 0, 0
2.8560, 529, 624, 0, 0
2.8810, 530, 623, 0, 0
2.9050, 531, 622, 0, 0
2.9310, 531, 622, 0, 0
2.9550, 532, 621, 0, 0
2.9810, 533, 621, 0, 0
3.0060, 533, 621, 0, 0
3.0300, 533, 621, 0, 0
3.0560, 533, 621, 0, 0
3.0800, 533, 621, 0, 0
3.1050, 534, 620, 0, 0
3.1300, 535, 619, 0, 0
3.1550, 536, 618, 0, 0
3.1810, 536, 619, 0, 0
3.2050, 536, 619, 0, 0
3.2300, 536, 619, 0, 0
3.2550, 536, 619, 0, 0
3.2800, 536, 619, 0, 0
3.3050, 535, 620, 0, 0
3.3300, 535, 619, 0, 0
3.3550, 534, 620, 0, 0
3.3800, 533, 621, 0, 0
3.4050, 533, 621, 0, 0
3.4290, 532, 621, 0, 0
3.4550, 530, 622, 0, 0
3.4800, 528, 623, 0, 0
3.5040, 526, 623, 0, 0
3.5300, 525, 624, 0, 0
3.5540, 524, 624, 0, 0
3.5800, 523, 625, 0, 0
3.6050, 523, 625, 0, 0
3.6290, 521, 626, 0, 0
3.6550, 520, 626, 0, 0
3.6790, 519, 626, 0, 0
3.7040, 519, 626, 0, 0
3.7290, 517, 627, 0, 0
3.7540, 517, 626, 0, 0
3.7800, 517, 627, 0, 0
3.8040, 517, 626, 0, 0
3.8290, 517, 627, 0, 0
3.8540, 518, 627, 0, 0
3.8790, 518, 627, 0, 0
3.9040, 519, 627, 0, 0
3.9290, 521, 627, 0, 0
3.9540, 523, 626, 0, 0
