=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2025.04.03 11:32:29 =~=~=~=~=~=~=~=~=~=~=~=
Vibration OFF
 
Up threshold:   f_up_thr = 349
Down threshold:   f_down_thr = 485
Trial 1 started
time, up, down, lbl_up, lbl_down
0.0000, 353, 519, 0, 0
0.0090, 353, 519, 0, 0
0.0350, 351, 519, 0, 0
0.0590, 349, 519, 0, 0
0.0850, 349, 520, 0, 0
0.1100, 348, 520, 1, 0
0.1340, 346, 520, 1, 0
0.1600, 344, 520, 1, 0
0.1840, 343, 521, 1, 0
0.2090, 341, 521, 1, 0
0.2340, 340, 521, 1, 0
0.2590, 339, 521, 1, 0
0.2850, 339, 522, 1, 0
0.3090, 338, 522, 1, 0
0.3340, 337, 522, 1, 0
0.3590, 337, 523, 1, 0
0.3840, 337, 523, 1, 0
0.4090, 337, 523, 1, 0
0.4340, 337, 523, 1, 0
0.4590, 337, 524, 1, 0
0.4840, 336, 524, 1, 0
0.5090, 335, 524, 1, 0
0.5330, 334, 525, 1, 0
0.5590, 334, 524, 1, 0
0.5840, 333, 525, 1, 0
0.6080, 333, 525, 1, 0
0.6340, 333, 524, 1, 0
0.6580, 333, 523, 1, 0
0.6840, 334, 523, 1, 0
0.7090, 334, 523, 1, 0
0.7330, 335, 520, 1, 0
0.7590, 336, 519, 1, 0
0.7830, 337, 518, 1, 0
0.8080, 336, 517, 1, 0
0.8330, 336, 514, 1, 0
0.8580, 335, 513, 1, 0
0.8840, 334, 512, 1, 0
0.9080, 334, 509, 1, 0
0.9330, 335, 507, 1, 0
0.9580, 335, 506, 1, 0
0.9830, 336, 505, 1, 0
1.0080, 337, 506, 1, 0
1.0330, 337, 506, 1, 0
1.0580, 339, 506, 1, 0
1.0830, 340, 507, 1, 0
1.1080, 341, 507, 1, 0
1.1320, 343, 507, 1, 0
1.1580, 344, 507, 1, 0
1.1830, 345, 506, 1, 0
1.2070, 345, 505, 1, 0
1.2330, 346, 505, 1, 0
1.2570, 347, 505, 1, 0
1.2830, 347, 504, 1, 0
1.3080, 348, 505, 1, 0
1.3320, 347, 507, 1, 0
1.3580, 346, 508, 1, 0
1.3820, 346, 509, 1, 0
1.4070, 347, 509, 1, 0
1.4330, 347, 509, 1, 0
1.4570, 348, 509, 1, 0
1.4830, 348, 508, 1, 0
1.5070, 349, 508, 0, 0
1.5320, 350, 508, 0, 0
1.5570, 350, 509, 0, 0
1.5820, 350, 511, 0, 0
1.6070, 350, 512, 0, 0
1.6320, 349, 513, 0, 0
1.6570, 350, 514, 0, 0
1.6820, 350, 515, 0, 0
1.7070, 349, 515, 0, 0
1.7320, 350, 515, 0, 0
1.7570, 351, 515, 0, 0
1.7820, 351, 515, 0, 0
1.8060, 350, 515, 0, 0
1.8320, 350, 516, 0, 0
1.8560, 350, 515, 0, 0
1.8820, 350, 515, 0, 0
1.9070, 351, 515, 0, 0
1.9310, 351, 516, 0, 0
1.9570, 352, 516, 0, 0
1.9810, 352, 516, 0, 0
2.0060, 352, 516, 0, 0
2.0320, 352, 517, 0, 0
2.0560, 352, 517, 0, 0
2.0820, 351, 517, 0, 0
2.1060, 351, 517, 0, 0
2.1310, 352, 518, 0, 0
2.1560, 352, 517, 0, 0
2.1810, 352, 517, 0, 0
2.2060, 352, 518, 0, 0
2.2310, 352, 517, 0, 0
2.2560, 352, 517, 0, 0
2.2810, 352, 517, 0, 0
2.3060, 353, 517, 0, 0
2.3310, 353, 517, 0, 0
2.3560, 353, 517, 0, 0
2.3810, 352, 517, 0, 0
2.4050, 352, 518, 0, 0
2.4310, 352, 518, 0, 0
2.4550, 351, 518, 0, 0
2.4810, 351, 518, 0, 0
2.5060, 350, 518, 0, 0
2.5300, 349, 518, 0, 0
2.5560, 349, 518, 0, 0
2.5800, 348, 518, 1, 0
2.6050, 348, 518, 1, 0
2.6310, 347, 518, 1, 0
2.6550, 348, 518, 1, 0
2.6810, 348, 518, 1, 0
2.7050, 346, 518, 1, 0
2.7300, 346, 518, 1, 0
2.7560, 346, 518, 1, 0
2.7800, 345, 518, 1, 0
2.8050, 346, 518, 1, 0
2.8300, 345, 518, 1, 0
2.8550, 344, 518, 1, 0
2.8800, 344, 518, 1, 0
2.9050, 344, 519, 1, 0
2.9300, 343, 519, 1, 0
2.9550, 342, 519, 1, 0
2.9800, 340, 519, 1, 0
3.0040, 338, 520, 1, 0
3.0300, 336, 521, 1, 0
3.0550, 334, 521, 1, 0
3.0800, 332, 521, 1, 0
3.1050, 331, 521, 1, 0
3.1290, 330, 521, 1, 0
3.1550, 329, 521, 1, 0
3.1790, 329, 520, 1, 0
3.2040, 328, 520, 1, 0
3.2300, 328, 520, 1, 0
3.2540, 328, 520, 1, 0
3.2800, 327, 520, 1, 0
3.3040, 326, 519, 1, 0
3.3290, 326, 519, 1, 0
3.3550, 326, 519, 1, 0
3.3790, 326, 518, 1, 0
3.4040, 326, 518, 1, 0
3.4290, 325, 518, 1, 0
3.4540, 325, 516, 1, 0
3.4790, 326, 515, 1, 0
3.5040, 325, 516, 1, 0
3.5290, 325, 514, 1, 0
3.5540, 325, 512, 1, 0
