=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2024.11.20 11:02:01 =~=~=~=~=~=~=~=~=~=~=~=
Up threshold:   f_up_thr = 461
Down threshold:   f_down_thr = 520
Trial 1 started
time, up, down, lbl_up, lbl_down
0.0000, 415, 560, 1, 0
0.0100, 415, 560, 1, 0
0.0350, 415, 560, 1, 0
0.0600, 415, 560, 1, 0
0.0850, 415, 560, 1, 0
0.1090, 415, 560, 1, 0
0.1350, 415, 560, 1, 0
0.1600, 415, 560, 1, 0
0.1850, 415, 560, 1, 0
0.2100, 414, 560, 1, 0
0.2340, 411, 560, 1, 0
0.2600, 406, 561, 1, 0
0.2840, 402, 561, 1, 0
0.3090, 399, 561, 1, 0
0.3350, 397, 561, 1, 0
0.3590, 395, 562, 1, 0
0.3850, 394, 562, 1, 0
0.4090, 395, 562, 1, 0
0.4340, 396, 562, 1, 0
0.4600, 397, 562, 1, 0
0.4840, 399, 562, 1, 0
0.5090, 400, 563, 1, 0
0.5340, 401, 563, 1, 0
0.5590, 401, 563, 1, 0
0.5840, 401, 563, 1, 0
0.6090, 400, 563, 1, 0
0.6340, 400, 561, 1, 0
0.6590, 401, 556, 1, 0
0.6840, 402, 553, 1, 0
0.7080, 400, 553, 1, 0
0.7340, 400, 553, 1, 0
0.7590, 401, 552, 1, 0
0.7840, 402, 552, 1, 0
0.8090, 403, 552, 1, 0
0.8330, 406, 552, 1, 0
0.8590, 408, 552, 1, 0
0.8840, 410, 552, 1, 0
0.9080, 413, 552, 1, 0
0.9340, 415, 552, 1, 0
0.9580, 416, 553, 1, 0
0.9840, 418, 554, 1, 0
1.0080, 420, 554, 1, 0
1.0330, 422, 554, 1, 0
1.0590, 423, 556, 1, 0
1.0830, 424, 558, 1, 0
1.1080, 425, 559, 1, 0
1.1330, 425, 562, 1, 0
1.1580, 425, 563, 1, 0
1.1840, 426, 563, 1, 0
1.2080, 426, 564, 1, 0
1.2330, 427, 564, 1, 0
1.2580, 429, 564, 1, 0
1.2830, 429, 564, 1, 0
1.3070, 430, 565, 1, 0
1.3330, 432, 564, 1, 0
1.3580, 433, 565, 1, 0
1.3830, 433, 565, 1, 0
1.4080, 434, 565, 1, 0
1.4320, 436, 565, 1, 0
1.4580, 436, 565, 1, 0
1.4830, 438, 564, 1, 0
