=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2024.11.14 10:00:59 =~=~=~=~=~=~=~=~=~=~=~=
Perfect position:   perf_pos_f1 = 493, perf_pos_f2 = 630
Down threshold:   f_down_thr = 528
Up threshold:   f_up_thr = 475
Vibration OFF
Trial 1 started
time, up, down, lbl_up, lbl_down
0.0000, 505, 588, 0, 0
0.0100, 505, 587, 0, 0
0.0350, 505, 588, 0, 0
0.0600, 505, 588, 0, 0
0.0850, 505, 588, 0, 0
0.1090, 505, 588, 0, 0
0.1350, 505, 588, 0, 0
0.1600, 505, 588, 0, 0
0.1850, 506, 587, 0, 0
0.2100, 506, 587, 0, 0
0.2340, 506, 587, 0, 0
0.2600, 506, 587, 0, 0
0.2840, 506, 587, 0, 0
0.3090, 506, 587, 0, 0
0.3350, 507, 586, 0, 0
0.3590, 507, 586, 0, 0
0.3850, 507, 587, 0, 0
0.4090, 507, 587, 0, 0
0.4340, 507, 586, 0, 0
0.4600, 508, 586, 0, 0
0.4840, 507, 586, 0, 0
0.5090, 507, 586, 0, 0
0.5340, 508, 586, 0, 0
0.5590, 508, 586, 0, 0
0.5840, 507, 586, 0, 0
0.6090, 508, 586, 0, 0
0.6340, 508, 585, 0, 0
0.6590, 508, 585, 0, 0
0.6840, 508, 584, 0, 0
0.7080, 508, 585, 0, 0
0.7340, 508, 585, 0, 0
0.7590, 508, 585, 0, 0
0.7840, 508, 586, 0, 0
0.8090, 508, 585, 0, 0
0.8330, 508, 585, 0, 0
0.8590, 507, 586, 0, 0
0.8840, 508, 586, 0, 0
0.9080, 507, 586, 0, 0
0.9340, 508, 586, 0, 0
0.9580, 507, 587, 0, 0
0.9840, 507, 587, 0, 0
1.0080, 507, 587, 0, 0
1.0330, 508, 586, 0, 0
1.0590, 507, 586, 0, 0
1.0830, 507, 585, 0, 0
1.1080, 508, 585, 0, 0
1.1330, 509, 585, 0, 0
1.1580, 509, 585, 0, 0
1.1840, 509, 586, 0, 0
1.2080, 509, 585, 0, 0
1.2330, 509, 585, 0, 0
1.2580, 509, 585, 0, 0
1.2830, 509, 586, 0, 0
1.3070, 510, 586, 0, 0
1.3330, 510, 585, 0, 0
1.3580, 510, 586, 0, 0
1.3830, 511, 586, 0, 0
1.4080, 511, 586, 0, 0
1.4320, 511, 586, 0, 0
1.4580, 512, 585, 0, 0
1.4830, 513, 586, 0, 0
1.5070, 514, 586, 0, 0
1.5330, 514, 585, 0, 0
1.5570, 514, 586, 0, 0
1.5830, 514, 585, 0, 0
1.6070, 515, 586, 0, 0
1.6320, 515, 586, 0, 0
1.6580, 515, 586, 0, 0
1.6820, 515, 586, 0, 0
1.7070, 515, 587, 0, 0
1.7320, 515, 587, 0, 0
1.7570, 515, 587, 0, 0
1.7830, 515, 587, 0, 0
1.8070, 516, 587, 0, 0
1.8320, 516, 587, 0, 0
1.8570, 517, 587, 0, 0
1.8820, 518, 587, 0, 0
1.9060, 518, 587, 0, 0
1.9320, 519, 587, 0, 0
1.9570, 520, 587, 0, 0
1.9820, 520, 587, 0, 0
2.0070, 520, 587, 0, 0
2.0310, 520, 587, 0, 0
2.0570, 521, 587, 0, 0
2.0820, 521, 587, 0, 0
2.1060, 521, 587, 0, 0
2.1320, 521, 588, 0, 0
2.1560, 521, 588, 0, 0
2.1820, 521, 589, 0, 0
2.2070, 521, 590, 0, 0
2.2310, 520, 590, 0, 0
2.2570, 519, 591, 0, 0
2.2810, 517, 591, 0, 0
2.3060, 516, 592, 0, 0
2.3310, 515, 592, 0, 0
2.3560, 513, 593, 0, 0
2.3820, 512, 593, 0, 0
2.4060, 511, 593, 0, 0
2.4310, 510, 593, 0, 0
2.4560, 509, 593, 0, 0
2.4810, 508, 594, 0, 0
2.5060, 506, 593, 0, 0
2.5310, 504, 593, 0, 0
2.5560, 503, 592, 0, 0
2.5810, 503, 592, 0, 0
2.6060, 501, 592, 0, 0
2.6300, 500, 591, 0, 0
2.6560, 500, 591, 0, 0
2.6810, 499, 591, 0, 0
2.7050, 499, 591, 0, 0
2.7310, 500, 590, 0, 0
2.7550, 500, 590, 0, 0
2.7810, 500, 590, 0, 0
2.8060, 502, 589, 0, 0
2.8300, 502, 588, 0, 0
2.8560, 503, 588, 0, 0
2.8800, 504, 588, 0, 0
2.9050, 505, 587, 0, 0
2.9300, 506, 587, 0, 0
2.9550, 507, 586, 0, 0
2.9810, 507, 586, 0, 0
3.0050, 507, 586, 0, 0
