=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2024.11.14 10:41:51 =~=~=~=~=~=~=~=~=~=~=~=
Down threshold:   f_down_thr = 625
Up threshold:   f_up_thr = 486
Vibration OFF
Trial 2 started
time, up, down, lbl_up, lbl_down
0.0000, 566, 589, 0, 1
0.0100, 566, 589, 0, 1
0.0360, 566, 590, 0, 1
0.0600, 566, 591, 0, 1
0.0850, 566, 591, 0, 1
0.1100, 566, 592, 0, 1
0.1350, 565, 592, 0, 1
0.1600, 565, 593, 0, 1
0.1850, 565, 593, 0, 1
0.2100, 565, 594, 0, 1
0.2350, 565, 594, 0, 1
0.2600, 565, 594, 0, 1
0.2850, 565, 594, 0, 1
0.3100, 564, 594, 0, 1
0.3350, 565, 594, 0, 1
0.3590, 565, 594, 0, 1
0.3850, 565, 594, 0, 1
0.4100, 565, 594, 0, 1
0.4350, 564, 594, 0, 1
0.4600, 565, 593, 0, 1
0.4840, 565, 594, 0, 1
0.5100, 565, 593, 0, 1
0.5340, 565, 592, 0, 1
0.5590, 565, 591, 0, 1
0.5850, 566, 591, 0, 1
0.6090, 566, 591, 0, 1
0.6350, 566, 590, 0, 1
0.6590, 567, 589, 0, 1
0.6840, 567, 587, 0, 1
0.7100, 567, 587, 0, 1
0.7340, 568, 586, 0, 1
0.7590, 568, 586, 0, 1
0.7840, 568, 584, 0, 1
0.8090, 569, 583, 0, 1
0.8340, 569, 583, 0, 1
0.8590, 570, 582, 0, 1
0.8840, 570, 583, 0, 1
0.9090, 569, 583, 0, 1
0.9340, 569, 584, 0, 1
0.9580, 569, 585, 0, 1
0.9840, 569, 584, 0, 1
1.0090, 569, 585, 0, 1
1.0340, 568, 586, 0, 1
1.0590, 567, 586, 0, 1
1.0830, 567, 586, 0, 1
1.1090, 568, 587, 0, 1
1.1330, 567, 587, 0, 1
1.1580, 567, 587, 0, 1
1.1840, 567, 587, 0, 1
1.2080, 567, 587, 0, 1
1.2340, 567, 588, 0, 1
1.2580, 567, 588, 0, 1
1.2830, 567, 588, 0, 1
1.3090, 567, 588, 0, 1
1.3330, 567, 588, 0, 1
1.3580, 567, 588, 0, 1
1.3830, 567, 588, 0, 1
1.4080, 567, 588, 0, 1
1.4340, 567, 589, 0, 1
1.4580, 568, 590, 0, 1
1.4830, 567, 590, 0, 1
1.5080, 568, 590, 0, 1
1.5330, 567, 590, 0, 1
1.5570, 568, 590, 0, 1
1.5830, 567, 590, 0, 1
1.6080, 568, 590, 0, 1
1.6330, 567, 590, 0, 1
1.6580, 567, 590, 0, 1
1.6820, 567, 590, 0, 1
1.7080, 567, 590, 0, 1
1.7330, 567, 591, 0, 1
1.7570, 566, 591, 0, 1
1.7830, 566, 590, 0, 1
1.8070, 566, 590, 0, 1
1.8330, 567, 590, 0, 1
1.8570, 566, 590, 0, 1
1.8820, 566, 590, 0, 1
1.9080, 567, 590, 0, 1
1.9320, 567, 588, 0, 1
1.9570, 567, 587, 0, 1
1.9820, 567, 587, 0, 1
2.0070, 568, 585, 0, 1
2.0330, 568, 660, 0, 0
2.0570, 568, 586, 0, 1
2.0820, 568, 582, 0, 1
2.1070, 568, 583, 0, 1
2.1320, 568, 583, 0, 1
2.1560, 569, 581, 0, 1
2.1820, 568, 581, 0, 1
2.2070, 568, 581, 0, 1
2.2320, 568, 580, 0, 1
2.2570, 569, 581, 0, 1
2.2810, 569, 582, 0, 1
2.3070, 569, 586, 0, 1
2.3320, 569, 581, 0, 1
2.3560, 569, 580, 0, 1
2.3820, 569, 580, 0, 1
2.4060, 569, 582, 0, 1
2.4320, 569, 580, 0, 1
2.4560, 569, 580, 0, 1
2.4810, 569, 581, 0, 1
2.5070, 569, 581, 0, 1
2.5310, 569, 580, 0, 1
2.5560, 568, 581, 0, 1
2.5810, 568, 581, 0, 1
2.6060, 569, 581, 0, 1
2.6320, 569, 580, 0, 1
2.6560, 569, 580, 0, 1
2.6810, 569, 580, 0, 1
2.7060, 569, 580, 0, 1
2.7310, 570, 584, 0, 1
2.7550, 570, 584, 0, 1
2.7810, 570, 585, 0, 1
2.8060, 570, 584, 0, 1
2.8310, 570, 585, 0, 1
2.8560, 570, 584, 0, 1
2.8800, 570, 584, 0, 1
2.9060, 570, 584, 0, 1
2.9310, 570, 585, 0, 1
2.9550, 570, 586, 0, 1
2.9810, 570, 582, 0, 1
3.0050, 570, 601, 0, 1
3.0310, 570, 587, 0, 1
3.0560, 570, 602, 0, 1
3.0800, 570, 619, 0, 1
3.1060, 570, 608, 0, 1
3.1300, 570, 621, 0, 1
3.1550, 570, 592, 0, 1
3.1800, 570, 612, 0, 1
3.2050, 569, 591, 0, 1
3.2310, 570, 587, 0, 1
