=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2024.11.15 11:34:14 =~=~=~=~=~=~=~=~=~=~=~=
Vibration OFF
Down threshold:   f_down_thr = 596
Up threshold:   f_up_thr = 434
Trial 1 started
time, up, down, lbl_up, lbl_down
0.0000, 433, 612, 1, 0
0.0100, 432, 612, 1, 0
0.0350, 430, 612, 1, 0
0.0610, 430, 611, 1, 0
0.0850, 431, 611, 1, 0
0.1110, 430, 611, 1, 0
0.1350, 431, 611, 1, 0
0.1600, 432, 611, 1, 0
0.1860, 432, 611, 1, 0
0.2100, 432, 611, 1, 0
0.2350, 431, 610, 1, 0
0.2600, 428, 610, 1, 0
0.2850, 427, 610, 1, 0
0.3100, 424, 609, 1, 0
0.3350, 423, 609, 1, 0
0.3600, 424, 608, 1, 0
0.3850, 424, 608, 1, 0
0.4100, 423, 607, 1, 0
0.4340, 423, 606, 1, 0
0.4600, 422, 604, 1, 0
0.4850, 422, 604, 1, 0
0.5100, 422, 602, 1, 0
0.5350, 423, 602, 1, 0
0.5590, 423, 601, 1, 0
0.5850, 424, 601, 1, 0
0.6090, 425, 600, 1, 0
0.6340, 426, 600, 1, 0
0.6600, 427, 600, 1, 0
0.6840, 428, 599, 1, 0
0.7100, 429, 598, 1, 0
0.7340, 430, 598, 1, 0
0.7590, 432, 598, 1, 0
0.7850, 432, 597, 1, 0
0.8090, 434, 597, 0, 0
0.8340, 435, 597, 0, 0
0.8590, 435, 597, 0, 0
0.8840, 436, 596, 0, 0
0.9100, 438, 595, 0, 1
0.9340, 439, 595, 0, 1
0.9590, 441, 594, 0, 1
0.9840, 441, 594, 0, 1
1.0090, 442, 593, 0, 1
1.0330, 443, 592, 0, 1
1.0590, 444, 592, 0, 1
1.0840, 445, 592, 0, 1
1.1090, 446, 592, 0, 1
1.1340, 447, 593, 0, 1
1.1580, 448, 594, 0, 1
1.1840, 448, 595, 0, 1
1.2090, 447, 596, 0, 0
1.2330, 447, 597, 0, 0
1.2590, 448, 598, 0, 0
1.2830, 448, 598, 0, 0
1.3090, 448, 600, 0, 0
1.3330, 449, 600, 0, 0
1.3580, 449, 600, 0, 0
1.3840, 449, 601, 0, 0
1.4080, 448, 602, 0, 0
1.4330, 447, 604, 0, 0
1.4580, 445, 606, 0, 0
1.4830, 442, 607, 0, 0
1.5090, 439, 608, 0, 0
1.5330, 437, 609, 0, 0
1.5580, 436, 610, 0, 0
1.5830, 435, 611, 0, 0
1.6080, 435, 611, 0, 0
1.6320, 436, 611, 0, 0
1.6580, 435, 612, 0, 0
1.6830, 435, 611, 0, 0
1.7080, 434, 611, 0, 0
1.7330, 434, 612, 0, 0
1.7570, 434, 612, 0, 0
1.7830, 434, 611, 0, 0
1.8080, 435, 611, 0, 0
1.8320, 436, 612, 0, 0
1.8580, 436, 612, 0, 0
1.8820, 436, 612, 0, 0
1.9080, 437, 612, 0, 0
1.9320, 437, 612, 0, 0
1.9570, 437, 613, 0, 0
1.9830, 438, 613, 0, 0
2.0070, 439, 613, 0, 0
2.0320, 438, 613, 0, 0
2.0570, 439, 613, 0, 0
2.0820, 439, 613, 0, 0
2.1080, 439, 613, 0, 0
2.1320, 438, 612, 0, 0
2.1570, 438, 612, 0, 0
2.1820, 439, 612, 0, 0
2.2070, 440, 611, 0, 0
2.2320, 440, 611, 0, 0
2.2570, 441, 611, 0, 0
2.2820, 443, 610, 0, 0
2.3070, 444, 609, 0, 0
2.3320, 445, 609, 0, 0
2.3560, 445, 608, 0, 0
2.3820, 446, 608, 0, 0
2.4070, 446, 608, 0, 0
2.4310, 448, 609, 0, 0
2.4570, 448, 609, 0, 0
2.4810, 449, 608, 0, 0
2.5070, 450, 608, 0, 0
2.5320, 451, 609, 0, 0
2.5560, 451, 609, 0, 0
2.5820, 452, 609, 0, 0
2.6060, 452, 609, 0, 0
2.6310, 452, 608, 0, 0
2.6560, 451, 608, 0, 0
2.6810, 451, 607, 0, 0
2.7070, 451, 607, 0, 0
2.7310, 451, 607, 0, 0
2.7560, 451, 607, 0, 0
2.7810, 451, 606, 0, 0
2.8060, 451, 606, 0, 0
2.8310, 452, 606, 0, 0
2.8560, 452, 605, 0, 0
2.8810, 453, 606, 0, 0
2.9060, 455, 606, 0, 0
2.9310, 455, 605, 0, 0
2.9550, 457, 605, 0, 0
2.9810, 456, 606, 0, 0
3.0060, 457, 606, 0, 0
3.0300, 457, 607, 0, 0
3.0560, 456, 607, 0, 0
3.0800, 455, 608, 0, 0
3.1060, 455, 609, 0, 0
3.1310, 454, 609, 0, 0
3.1550, 453, 609, 0, 0
3.1810, 452, 609, 0, 0
3.2050, 451, 609, 0, 0
3.2300, 449, 610, 0, 0
3.2560, 448, 610, 0, 0
3.2800, 447, 610, 0, 0
3.3060, 446, 610, 0, 0
3.3300, 445, 610, 0, 0
